author,comment,case_folded_comment
@KangNorris,"Pertamina, PLN dan yg berbau BUMN tolong di sorot pak purbaya, sdh jadi rahasia umum itu ladang  penyamun","pertamina, pln dan yg berbau bumn tolong di sorot pak purbaya, sdh jadi rahasia umum itu ladang  penyamun"
@ED-wx3he,"Karena mafia lebih suka impor, karena mainin duitnya lebih mudah, banyak celah.","karena mafia lebih suka impor, karena mainin duitnya lebih mudah, banyak celah."
@irzajailani7747,"Menterinya asal gomong tidak berdasar, mengatankan
Over cavacity nyatanya pengisian BBM di daerah antrian panjang karena suplaynya sering terputus putus lambat.","menterinya asal gomong tidak berdasar, mengatankan
over cavacity nyatanya pengisian bbm di daerah antrian panjang karena suplaynya sering terputus putus lambat."
@blueromantic-d2e,Videonya sama Gubernur Kaltim... yg katanya kota minyak tapi susah Cari BBM di Balikpapan 😊,videonya sama gubernur kaltim... yg katanya kota minyak tapi susah cari bbm di balikpapan 😊
@SystemsAnalyst,"Kilang internasional perlu teknologi dan konstruksi yang sulit  dimanipulasi dalam pembangunan dan maintenance-nya. Berbeda dengan bangun jalan, jembatan, dsb.. seputaran pekerjaan umum.","kilang internasional perlu teknologi dan konstruksi yang sulit  dimanipulasi dalam pembangunan dan maintenance-nya. berbeda dengan bangun jalan, jembatan, dsb.. seputaran pekerjaan umum."
@inaranticarmen8594,"Pikir aja..berapa MILYAR FEE nya per Hari dari impor 1,5 juta barel PER HARI BUAT PARA TIKUS PERTAMINA...","pikir aja..berapa milyar fee nya per hari dari impor 1,5 juta barel per hari buat para tikus pertamina..."
@heruschannel5055,"Kami overcapacity maling uang rakyat, makanya maling digantung biar jadi efek jera maling lainnya.","kami overcapacity maling uang rakyat, makanya maling digantung biar jadi efek jera maling lainnya."
@wahyupamungkas9716,Pembangunan kilang jgn hanya pertimbangan untung-rugi!  Yg diutamakan semestinya pertimbangan kemandirian dan pertahanan keamanan.,pembangunan kilang jgn hanya pertimbangan untung-rugi!  yg diutamakan semestinya pertimbangan kemandirian dan pertahanan keamanan.
@PapiBagas-v7d,"Setuju apa yg dibilang Menkeu. Pertamina hrs tambah kilang. Malah bilang over capacity...hmm...over capacity apaan,...buktnya di Kaltim yg tempatnya minyak malah antri panjang KLO masyarakatnya beli BBM. Dukung pak Menkeu bongkar mafia minyak...","setuju apa yg dibilang menkeu. pertamina hrs tambah kilang. malah bilang over capacity...hmm...over capacity apaan,...buktnya di kaltim yg tempatnya minyak malah antri panjang klo masyarakatnya beli bbm. dukung pak menkeu bongkar mafia minyak..."
@viazca5979,"kami rakyat indonesia akan menjaga Bapak dan Keluarga
maju terus Pak Purbaya
berantas mafia2 di Indonesia","kami rakyat indonesia akan menjaga bapak dan keluarga
maju terus pak purbaya
berantas mafia2 di indonesia"
@GOKLIK,"harusnya setiap provinsi ada kilang minyak, biar bisa menyesuaikan kebutuhan dan lebih mudah dipantau nya😮","harusnya setiap provinsi ada kilang minyak, biar bisa menyesuaikan kebutuhan dan lebih mudah dipantau nya😮"
@vcpatt,"Mulai sekarang stop impor olahan kilang Singapore... Hadeeeeh, koplak...","mulai sekarang stop impor olahan kilang singapore... hadeeeeh, koplak..."
@IdoezAbdul,"Buka lapangan kerja, pangkas gaji atasan Pertamina, sudah terlalu over, banyak rakyat yg masih kelaparan!!","buka lapangan kerja, pangkas gaji atasan pertamina, sudah terlalu over, banyak rakyat yg masih kelaparan!!"
@anggasadulur,sehat selalu pak mentri semangat,sehat selalu pak mentri semangat
@avvc.5043,"Konoha, negara super korup, mulai dari pejabat pemerintah pusat, daerah, dan DPR sama sama berlomba lomba untuk mencuri uang negara!!!.","konoha, negara super korup, mulai dari pejabat pemerintah pusat, daerah, dan dpr sama sama berlomba lomba untuk mencuri uang negara!!!."
@amoeliono,Purbaya awalnya blunder speak2 makin lama makin keren... Gaskeun Pak!!,purbaya awalnya blunder speak2 makin lama makin keren... gaskeun pak!!
@syamjee7880,"Emang harusnya Gini, pejabat ribut sama pejabat. Biar rakyat yang jadi penonton. Bukan sebaliknya. Rakyat yg saling ribut","emang harusnya gini, pejabat ribut sama pejabat. biar rakyat yang jadi penonton. bukan sebaliknya. rakyat yg saling ribut"
@link-q7z,PEJABAT NEGARA (MENTRI) JANGAN NGALAH2 ATAU SUNGKAN SAMA ITU DPR BICARA SAJA YANG LANTANG PAK MENTRI KALAU MEREKA SALAH SALAHKAN SAJA DENGAN TEGAS KAMI MENDUKUNG ANDA.,pejabat negara (mentri) jangan ngalah2 atau sungkan sama itu dpr bicara saja yang lantang pak mentri kalau mereka salah salahkan saja dengan tegas kami mendukung anda.
@SaifulAnwar-x2q,"Betul di bilang pak purbaya,,mana ada pembangunan kilang baru di kawasan baru,,bukan di tapak kilang lama yg sudah ada dgn wilayah kilang semua rakyat Indonesia tahu","betul di bilang pak purbaya,,mana ada pembangunan kilang baru di kawasan baru,,bukan di tapak kilang lama yg sudah ada dgn wilayah kilang semua rakyat indonesia tahu"
@aliefromadhon5544,YANG ADA MALAH BEBERAPA DI BAKARKAN? .......Wahhh lanjutkan pak Purbaya.....minta di usut sekalian siapa pelaku utama pembakarnya,yang ada malah beberapa di bakarkan? .......wahhh lanjutkan pak purbaya.....minta di usut sekalian siapa pelaku utama pembakarnya
@Yogha1998,Periksa semua Pimpinan Pertamina.. Kejagung harus tangkap semua pimpinan pertamina yg terlibat skandal korupsi.,periksa semua pimpinan pertamina.. kejagung harus tangkap semua pimpinan pertamina yg terlibat skandal korupsi.
@aghaprabasworo4296,Utututu anak2 terbaik bangsa,utututu anak2 terbaik bangsa
@TulangTele,"Kini Mafianya terang2an dan duduk di jabatan, mafia migas disingkirkan dan jadi stareless. Satu tumbang akan ada mafia lainnya muncul dan ini lebih parah. 

Kelakuan mereka bukan seperti babu rakyat, pengusaha swasta dilumpuhkan dan terpaksa tutup lapak, monopoli dari Bahlul CS sdh seperti mafia migas dg bendera BUMN. 
Lebib bajingan jadinya.","kini mafianya terang2an dan duduk di jabatan, mafia migas disingkirkan dan jadi stareless. satu tumbang akan ada mafia lainnya muncul dan ini lebih parah. 

kelakuan mereka bukan seperti babu rakyat, pengusaha swasta dilumpuhkan dan terpaksa tutup lapak, monopoli dari bahlul cs sdh seperti mafia migas dg bendera bumn. 
lebib bajingan jadinya."
@DimasMartha-r9r,"Lebih baik impor kejar target kuota, daripada bangun kilang sndiri, tidak ada bonusnya.","lebih baik impor kejar target kuota, daripada bangun kilang sndiri, tidak ada bonusnya."
@LyoBayu,"Kalo aku jd Bahlil ya ttp enak impor, hasilnya udah jelas. Umpama Kita beli Rp3000 nanti laporan ke Menkeu/presiden Rp4500. Sedangkan jual ke masyarakat Rp10000 kan udah untung banyak. Menteri ESDM untung negara jg untung. Intinya sama2 menguntungkan. Padahal harga minyak di luar negeri itu naik turun, sedangkan di Konoha ga mungkin turun malah naik. Kalo kita buat kilang lagi ya kemungkinan sulit kalo mau korupsi","kalo aku jd bahlil ya ttp enak impor, hasilnya udah jelas. umpama kita beli rp3000 nanti laporan ke menkeu/presiden rp4500. sedangkan jual ke masyarakat rp10000 kan udah untung banyak. menteri esdm untung negara jg untung. intinya sama2 menguntungkan. padahal harga minyak di luar negeri itu naik turun, sedangkan di konoha ga mungkin turun malah naik. kalo kita buat kilang lagi ya kemungkinan sulit kalo mau korupsi"
@PanjiHitam-h6b,Gua ngakak pas ngomong biar aja karna kemarin mereka jelek jelekin sayakan 🤣owhh jadi sebenarnya ini balas dendam🤣😭😭,gua ngakak pas ngomong biar aja karna kemarin mereka jelek jelekin sayakan 🤣owhh jadi sebenarnya ini balas dendam🤣😭😭
@jelickr4988,"Gmn kalau negara begini, pejabatnya saling sanggah .... hacur se hancur2 nya","gmn kalau negara begini, pejabatnya saling sanggah .... hacur se hancur2 nya"
@andi-rch,"Pak Prabowo tlg perintahkan Kejagung periksa menteri2 bpk.
Gak masuk akal ini, jelas2 ngimpor gila2an kok dibilang over capacity.","pak prabowo tlg perintahkan kejagung periksa menteri2 bpk.
gak masuk akal ini, jelas2 ngimpor gila2an kok dibilang over capacity."
@aconsantingon7566,KALAU BISA DIPERMAIKAN KENAPA ENGGA.. INI LAH RUSAKNYA PEJABAT KITA.. AYO BONGKAR PAK MENKU,kalau bisa dipermaikan kenapa engga.. ini lah rusaknya pejabat kita.. ayo bongkar pak menku
@lismardiana8825,"Sehat selalu pak Purbaya, pulihkan negara ini dr keterpurukan","sehat selalu pak purbaya, pulihkan negara ini dr keterpurukan"
@JuraganKuantan,"Sengaja tidak dibangun kilang baru, kalau dibangun tentu tdk impor bbm. Kalau tdk impor rugi tdk dpt uang, kalau impor dapat komisi😂😂😂","sengaja tidak dibangun kilang baru, kalau dibangun tentu tdk impor bbm. kalau tdk impor rugi tdk dpt uang, kalau impor dapat komisi😂😂😂"
@golfridpasaribu9591,Purbaya akan menjadi menteri idola...konsisten ya pak,purbaya akan menjadi menteri idola...konsisten ya pak
@rudiradja6265,Bobrok ambyarrr...pejabat sibuk memperkaya dirinya sendiri.sementara rakyat apapun kena pajak.APA MEREKA GAK TAKUT DI KEHIDUPAN ALAM KUBUR DAN AKHIRAT,bobrok ambyarrr...pejabat sibuk memperkaya dirinya sendiri.sementara rakyat apapun kena pajak.apa mereka gak takut di kehidupan alam kubur dan akhirat
@jackonealcom1098,Purbaya dan rakyat Indonesia tidak percaya ucapan pejabat karena pejabat banyak terkontaminasi kartel korupsi... 😂,purbaya dan rakyat indonesia tidak percaya ucapan pejabat karena pejabat banyak terkontaminasi kartel korupsi... 😂
@noranora8967,Semoga pak mentri Purbaya selalu kuat menghadapi orang2 korup yg masih berkuasa.,semoga pak mentri purbaya selalu kuat menghadapi orang2 korup yg masih berkuasa.
@NgehulengID,"😮 jadi misalkan Indonesia bangun kilang itu bisa mereduksi BBM impor yang mencapai ratusan ribu barel tiap hari, mending bangun kilang atau itu kata pak menteri ada investor yang pengen bangun kilang lumayan setelah 30 tahun jadi milik Indonesia","😮 jadi misalkan indonesia bangun kilang itu bisa mereduksi bbm impor yang mencapai ratusan ribu barel tiap hari, mending bangun kilang atau itu kata pak menteri ada investor yang pengen bangun kilang lumayan setelah 30 tahun jadi milik indonesia"
@ian-bd6sr,"kalo ga impor rugi lah ga bs korupsi.

SEMOGA BAHLIL SEKELUARGA SIAL 7 TURUNAN.
LIKE JIKA SETUJU!

AAMIIN!","kalo ga impor rugi lah ga bs korupsi.

semoga bahlil sekeluarga sial 7 turunan.
like jika setuju!

aamiin!"
@SudismanLIM,"Over capacity nya sekedar wacana dan angan angan. 
Kayak saya misalnya ditawari utk membeli rumah mewah, saya akan menolak dengan mengatakan wah rumah mewah saya sudah banyak, krn saya konglomerat. Asli nya saya cuma pedagang kecil kecilan ;) dan menjadi konglomerat hanya masih sebatas wacana dan angan angan. Biar gk jatuh gengsi dibilang gk sanggup beli rumah mewah😂","over capacity nya sekedar wacana dan angan angan. 
kayak saya misalnya ditawari utk membeli rumah mewah, saya akan menolak dengan mengatakan wah rumah mewah saya sudah banyak, krn saya konglomerat. asli nya saya cuma pedagang kecil kecilan ;) dan menjadi konglomerat hanya masih sebatas wacana dan angan angan. biar gk jatuh gengsi dibilang gk sanggup beli rumah mewah😂"
@pulangkampung2288,"keras, ""malah sekarang kilangnya dibakar""","keras, ""malah sekarang kilangnya dibakar"""
@MathoriMathori-ny3qn,Biar bisa ekpor bahan mentah dan impor bahan jadi disini tempat koropsinya,biar bisa ekpor bahan mentah dan impor bahan jadi disini tempat koropsinya
@tonmartono7691,"Mantap dan maju terus bersama masyarakat,mmg terbukti Pertamina banyak mafia dan silumannya. Bersama ketegasan presiden Prabowo dan jiwa patriotnya demi masyarakat,mafia,koruptor harus disingkirkan dr NKRI.","mantap dan maju terus bersama masyarakat,mmg terbukti pertamina banyak mafia dan silumannya. bersama ketegasan presiden prabowo dan jiwa patriotnya demi masyarakat,mafia,koruptor harus disingkirkan dr nkri."
@aryonoguenani3429,OVERCAPACITY SEHARUSNYA HARGA BBM MURAH MERIAH !!!!!!!,overcapacity seharusnya harga bbm murah meriah !!!!!!!
@YamadaRiki,Kerja halal dihalangi kerja haram dilindungi,kerja halal dihalangi kerja haram dilindungi
@galihandaru9515,Bahkan anak SD juga faham kalo over capacity ngapain impor,bahkan anak sd juga faham kalo over capacity ngapain impor
@antonysinaga1731,"Kalau bangun kilang, nanti fee impor nggak ada lagi😂😂😂","kalau bangun kilang, nanti fee impor nggak ada lagi😂😂😂"
@ayeayeCaptain01,"Jadi gini ya, salah satu teman pelaut cerita: bahwa dia selalu bawa tongkang minyak charteran pertamina ke depot kabil-batam, bongkar disana. Dia cerita disetiap kilang minyak, tidak semua tangki isinya milik negara, ada juga milik pejabat2 pertamina....dueeerr!!!😂😂😂","jadi gini ya, salah satu teman pelaut cerita: bahwa dia selalu bawa tongkang minyak charteran pertamina ke depot kabil-batam, bongkar disana. dia cerita disetiap kilang minyak, tidak semua tangki isinya milik negara, ada juga milik pejabat2 pertamina....dueeerr!!!😂😂😂"
@mayasafa4204,Pak purbaya harus bikin team orang2 baik dn cerdas...supaya kuat di pemerintahan,pak purbaya harus bikin team orang2 baik dn cerdas...supaya kuat di pemerintahan
@D-One_Studio,"Pertamina ini ditutup aja sih bukannya untung malah rugi, coba kasih ke suasta. Semua bumn yg merugi acam aja bakal ditutup, atau pecat semua atasan2nya kl masih rugi","pertamina ini ditutup aja sih bukannya untung malah rugi, coba kasih ke suasta. semua bumn yg merugi acam aja bakal ditutup, atau pecat semua atasan2nya kl masih rugi"
@AIN-o1z,Klu bangun kilang sendiri kuatir g bisa koruptor😮😮😮,klu bangun kilang sendiri kuatir g bisa koruptor😮😮😮
@andreaserwin6807,"Dah panggil investor ajalah, biar bisa bersaing. Selama ini Pertamina terlalu manja, main sendiri, monopoli. Kalo ada pesaing, mungkin Pertamina bisa lbh efisien, lbh baik.","dah panggil investor ajalah, biar bisa bersaing. selama ini pertamina terlalu manja, main sendiri, monopoli. kalo ada pesaing, mungkin pertamina bisa lbh efisien, lbh baik."
@pembasmicebonghanyut8393,Wajib kita jaga bapak Menkeu ini..org seperti ini yg wajib memimpin Indonesia.❤❤❤❤❤,wajib kita jaga bapak menkeu ini..org seperti ini yg wajib memimpin indonesia.❤❤❤❤❤
@ArdamsyahMarundruri,"Itu satu hal yang tidak masuk akal, masyarakat tambang minyak ilegal ko menjamur.","itu satu hal yang tidak masuk akal, masyarakat tambang minyak ilegal ko menjamur."
@ndi_wpc,Dari dulu.. Indo ekspor murah minyak mentah ke singapore untuk diolah jadi pertalite/pertamax lalu diimpor indo.. Pantas mahall..,dari dulu.. indo ekspor murah minyak mentah ke singapore untuk diolah jadi pertalite/pertamax lalu diimpor indo.. pantas mahall..
@ardimawardin3120,"Kami dukung pendapat pak menteri keuangan,","kami dukung pendapat pak menteri keuangan,"
@AyraGhania-q9r,"Asal nya ga percaya sama Bapak Purbaya karena kedekatannya sama si luhut,..
tapi setelah melihat langkah dan statement nya ternyata bersebrangan dengan si luhut dan gerombolan nya,..
mudah mudahan amanah bapak Purbaya","asal nya ga percaya sama bapak purbaya karena kedekatannya sama si luhut,..
tapi setelah melihat langkah dan statement nya ternyata bersebrangan dengan si luhut dan gerombolan nya,..
mudah mudahan amanah bapak purbaya"
@fajriibnwalid8593,Bahkan balikpapan penghasil minyak tertinggi di indonesia aja sempat langka minyak berhari hari karna permainan mafia,bahkan balikpapan penghasil minyak tertinggi di indonesia aja sempat langka minyak berhari hari karna permainan mafia
@dennywahyudi7157,Pertamina harus di audit,pertamina harus di audit
@haidarkhatami123,Pancing teruss pak purbaya... spill terus pak purbayaa biar yang lain pada nongolll,pancing teruss pak purbaya... spill terus pak purbayaa biar yang lain pada nongolll
@ekaardian4104,"Indonesia sebenernya kaya dengan sumber daya alam nya, belum lagi dari pajaknya
Kan di indo semua kena pajak, kalo pemerintah bisa ngelolanya 
Tapi sayang pemerintah nya pada memperkaya diri","indonesia sebenernya kaya dengan sumber daya alam nya, belum lagi dari pajaknya
kan di indo semua kena pajak, kalo pemerintah bisa ngelolanya 
tapi sayang pemerintah nya pada memperkaya diri"
@aganovandi9507,"Kalau over capacity logikanya pasokan lancar dan tdk perlu ada pembatasan pembelian...ini daerah di hampir seluruh Flores antri kendaraan terus di SPBU  hari"" bbrp bulan ini...pertalite, solar sering kosong...","kalau over capacity logikanya pasokan lancar dan tdk perlu ada pembatasan pembelian...ini daerah di hampir seluruh flores antri kendaraan terus di spbu  hari"" bbrp bulan ini...pertalite, solar sering kosong..."
@jerrysputrasp,"Pak PURBAYA typikal MENTERI yang bicara dengan DATA  bukan ASBUN dan UGAL UGAL'AN !!!

Sebagai ALUMNI ITB dan S2 PURDUE  University tentunya  beliau  bekerja dengan sungguh² untuk NEGARA , BANGSA dan RAKYAT !!!  dan semangat tinggi untuk  memperbaiki system baik yang  telah dirusak segelintir manusia RAKUS, SOMBONG, AROGAN, ANGKUH yang hanya mementingkan pribadi dan golongan.","pak purbaya typikal menteri yang bicara dengan data  bukan asbun dan ugal ugal'an !!!

sebagai alumni itb dan s2 purdue  university tentunya  beliau  bekerja dengan sungguh² untuk negara , bangsa dan rakyat !!!  dan semangat tinggi untuk  memperbaiki system baik yang  telah dirusak segelintir manusia rakus, sombong, arogan, angkuh yang hanya mementingkan pribadi dan golongan."
@ihobbies6107,Mafia minyak ketar ketir.. Gak bisa impor2.. 😂,mafia minyak ketar ketir.. gak bisa impor2.. 😂
@Car3000itis,over capacity gara2 dibakar terus kilangnya tiap ada masalah 🏃🏃🏃,over capacity gara2 dibakar terus kilangnya tiap ada masalah 🏃🏃🏃
@TriansyahS,"Purbaya VS Everybody 😅
Mantap pak 😅😅😅😅","purbaya vs everybody 😅
mantap pak 😅😅😅😅"
@Sarkobol-yf7ms,Bahlil kommmmmmtoooooollll,bahlil kommmmmmtoooooollll
@erwinady4047,"bangun kilang gak mampu, tapi komisaris & pejabat2 direksi nya dapat fasilitas mewah, gaji milyaran","bangun kilang gak mampu, tapi komisaris & pejabat2 direksi nya dapat fasilitas mewah, gaji milyaran"
@Junaidi-z3s,"Pak purbaya harus selidiki bahlil. Yg gj becus kinerjanya, bikin rakyat geram.","pak purbaya harus selidiki bahlil. yg gj becus kinerjanya, bikin rakyat geram."
@Faiqsyuja,SIAPAPUN MENGHALANG HALANGI NIAT BAIK NETIZEN YANG AKAN TURUN TANGAN CAMKAN ITU !!!,siapapun menghalang halangi niat baik netizen yang akan turun tangan camkan itu !!!
@RizalEfendi-y2m,"Pak Menkeu paling mantap, kinerja kelihatan banget ♥️👑","pak menkeu paling mantap, kinerja kelihatan banget ♥️👑"
@Lilissitikhodijah-d3d,Jangan diadakan kilang  jika  tak  berguna  bagi rakyat   yg ber untung  para  koruptor2  MQVIA,jangan diadakan kilang  jika  tak  berguna  bagi rakyat   yg ber untung  para  koruptor2  mqvia
@adwipx,"Plaju itu di Palembang, Sumatera Selatan.","plaju itu di palembang, sumatera selatan."
@PromoBritishPropolis,YO ....RAKYAT SIAP KAWAL PAK PURBAYA,yo ....rakyat siap kawal pak purbaya
@openime,"Dua kata lucu ""Pertamina Overcapacity"" 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂","dua kata lucu ""pertamina overcapacity"" 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
@andre-r8r7b,Sama sama Tahu lah jika Bikin Kilang sendiri apa yang mereka dapatkan😂,sama sama tahu lah jika bikin kilang sendiri apa yang mereka dapatkan😂
@dinamotehnik8618,"Biasa jatah masih kurang ....paling kalau jabat 3 bulan ,sudah dapat bagi2 jatah impor pasti hilang berita nya","biasa jatah masih kurang ....paling kalau jabat 3 bulan ,sudah dapat bagi2 jatah impor pasti hilang berita nya"
@mbahMu-iki,"Kalo overcapacity harusnya expor, bukan impor! Gpp bangun aja kilang banyak2. Ntar kalo overcapacity ya diekspor lah, jadi devisa. Kalo bisa semua hasil tambang minyak diolah sendiri. Bukan ekspor mentah. Hilirisasi!","kalo overcapacity harusnya expor, bukan impor! gpp bangun aja kilang banyak2. ntar kalo overcapacity ya diekspor lah, jadi devisa. kalo bisa semua hasil tambang minyak diolah sendiri. bukan ekspor mentah. hilirisasi!"
@fianrunako0127,"Berantas Calo yg ada di tubuh , bumn, Isi nya , Kucing garong, 
Bisa di sita Rakyat, itu uang Rakyat, Taiiii semua","berantas calo yg ada di tubuh , bumn, isi nya , kucing garong, 
bisa di sita rakyat, itu uang rakyat, taiiii semua"
@samsung-dj7mn,Masalah klasikbpertamona bukan kekurangan stok migas tapi maling maling nya yg perlu di kurangi .,masalah klasikbpertamona bukan kekurangan stok migas tapi maling maling nya yg perlu di kurangi .
@mochmuchlis8189,"Kalau beli khan dapat cuan dari penjual, rakyat jangan diperdulikan yg penting kaya keluarga bahlil","kalau beli khan dapat cuan dari penjual, rakyat jangan diperdulikan yg penting kaya keluarga bahlil"
@MANSYAHMANSYAH-j5f,"Wowww menteri kita yg sekarang luar biasa hebatnya 🇮🇩🔥,,","wowww menteri kita yg sekarang luar biasa hebatnya 🇮🇩🔥,,"
@aguspurwanto3230,Periksa smua yang mencurigakan...,periksa smua yang mencurigakan...
@ahmadfiqri8513,"Pak Purbaya pahamlah, dia pernah bekerja dibidang itu juga","pak purbaya pahamlah, dia pernah bekerja dibidang itu juga"
@syahputra8705,"Bahlil bener² ya, bbm masi banyak import dia bilang overkapasity. Ini mentri ga beres!","bahlil bener² ya, bbm masi banyak import dia bilang overkapasity. ini mentri ga beres!"
@helmyibrahim8630,Over capacity tp Balikpapan kehabisan bbm,over capacity tp balikpapan kehabisan bbm
@dakwahpemula8868,"Harusnya dari dulu sudah dipecat,orang"" titipan yang dulu.","harusnya dari dulu sudah dipecat,orang"" titipan yang dulu."
@ratnadjuniwatilisminingsih6170,Kilang Pertamina over capacity? Rakyat awam jg nggak percaya,kilang pertamina over capacity? rakyat awam jg nggak percaya
@chanasine,yang overload itu infrastruktur pembangunan kalo kesejahteraan rakyatnya tak di bangun  gimana mau sejahtera rakyat bingung cari pekerjaan pajak sana sini duwit pajak di kemanain selama ini untuk mensejahterakan rakyat,yang overload itu infrastruktur pembangunan kalo kesejahteraan rakyatnya tak di bangun  gimana mau sejahtera rakyat bingung cari pekerjaan pajak sana sini duwit pajak di kemanain selama ini untuk mensejahterakan rakyat
@IndraDoni-h8q,Pak Purbaya nih bos   tegas   emang yang itu cuma pajak pakai pajak,pak purbaya nih bos   tegas   emang yang itu cuma pajak pakai pajak
@ruthmindo5343,Eh.... sebenarnya yang tak paham soal bbm ini siapaaaa?? Kok duduk ditempat pembuat kebijakan??,eh.... sebenarnya yang tak paham soal bbm ini siapaaaa?? kok duduk ditempat pembuat kebijakan??
@hpagalla,"permainan Mafia didalam pemerintahan KONOHA, penuh dengan trik-trik Korupsi, Kolusi dan Nepotisme","permainan mafia didalam pemerintahan konoha, penuh dengan trik-trik korupsi, kolusi dan nepotisme"
@AndiFirmansyah-c1r,Mantap nih pak Purbaya....,mantap nih pak purbaya....
@omroy9663,Sebenarnya negara kita ini kaya banget,sebenarnya negara kita ini kaya banget
@otak.kanan99,"Org waras lbh baik bangun kilang, drpd impor...beda dg yg suka impor krn dpt fee impor....","org waras lbh baik bangun kilang, drpd impor...beda dg yg suka impor krn dpt fee impor...."
@hidayatdj3020,Anehnya kilang yg dibangun  kilang buat minyak yg di impor....smntara  minyak kita sendiri diekspor...😮,anehnya kilang yg dibangun  kilang buat minyak yg di impor....smntara  minyak kita sendiri diekspor...😮
@hardono-n3u,Sebaiknya para mentri jangan debat dipublik membuat gaduh.....kalau mau debat menpertahankan argumen dan fakta didepan presiden,sebaiknya para mentri jangan debat dipublik membuat gaduh.....kalau mau debat menpertahankan argumen dan fakta didepan presiden
@tomodasamuel1393,"Disuruh Hentikan Tambang, si Bahlul g mau
Disuruh Buka Kilang, pun si Goblin g Mau","disuruh hentikan tambang, si bahlul g mau
disuruh buka kilang, pun si goblin g mau"
@itansaparudinsyah,Bahlil bagaikan raja yg tangguh..... pemerintah tdk berani untuk menegur nya..... kemana aja saudara saudari,bahlil bagaikan raja yg tangguh..... pemerintah tdk berani untuk menegur nya..... kemana aja saudara saudari
@YudiMardianto-h5z,Ternyata negara kita di kelola sama orang2 yang cuma berkepentingan bagi golongannya saja,ternyata negara kita di kelola sama orang2 yang cuma berkepentingan bagi golongannya saja
@SuryaPrawira-x5n,"Kita harus punya kilang sendiri
dan swasembada migas agar
merdeka dan mandiri","kita harus punya kilang sendiri
dan swasembada migas agar
merdeka dan mandiri"
@Sangkakala157,"☝️ Awasi & Pantau Terus si Bahlil.., Jika TERBUKTI MELANGGAR , TIDAK SESUAI FAKTA.., "" JEBLOSKAN KE PENJARA "".","☝️ awasi & pantau terus si bahlil.., jika terbukti melanggar , tidak sesuai fakta.., "" jebloskan ke penjara ""."
@sabardjatmiko,"Bayangkan saja wilmar itu punya sawit di indonesia tapi kantor pusatnya di singapura, pemiliknya juga pindah ke singapura, pejabat2 kita sering kali main ke singapura, berobat ke singapura..

Yang ngak mau bangung kilang itu antara pemain atau memang agen singapura.. singapura punya kepentingan agar minyaknya selalu di beli oleh kita karena mereka ngak punya bahan mentahnya..","bayangkan saja wilmar itu punya sawit di indonesia tapi kantor pusatnya di singapura, pemiliknya juga pindah ke singapura, pejabat2 kita sering kali main ke singapura, berobat ke singapura..

yang ngak mau bangung kilang itu antara pemain atau memang agen singapura.. singapura punya kepentingan agar minyaknya selalu di beli oleh kita karena mereka ngak punya bahan mentahnya.."
@bodypranachannel,Antara Goblok’ dan Korupsi’ …Se-Iring Sejalan’ 🤦🏻‍♂️,antara goblok’ dan korupsi’ …se-iring sejalan’ 🤦🏻‍♂️
@MathoriMathori-ny3qn,Mestinya setiap propinsi ada kilang minyak harga jadi murah,mestinya setiap propinsi ada kilang minyak harga jadi murah
@ahhmadhuda2891,"Masyarakat indonesia mulai faham sepak terjang yang para Mafia. 
Karna semua mulai terbuka datanya.","masyarakat indonesia mulai faham sepak terjang yang para mafia. 
karna semua mulai terbuka datanya."
@supriyanto3370,beginilah hidup di negeri Mafia,beginilah hidup di negeri mafia
@hannddha,Over capacity tapi terus merugi😂,over capacity tapi terus merugi😂
@firshaaini7706,Kalo ngak impor ngak ada yg bisa di belokin 🤭🤭🤭,kalo ngak impor ngak ada yg bisa di belokin 🤭🤭🤭
@AlumniArsitek,"29 Tahun Masih beroprasi, mantab, dan terbukti","29 tahun masih beroprasi, mantab, dan terbukti"
@titiktanpakoma8734,"Knp para pejabat pbh senang impor brg dr luar?
Pasti sdh pada th kan alasannya
Jd wajar mereka tdk mau memproduksi di dlm negri krna ladang cuan mrka akan  tertutup","knp para pejabat pbh senang impor brg dr luar?
pasti sdh pada th kan alasannya
jd wajar mereka tdk mau memproduksi di dlm negri krna ladang cuan mrka akan  tertutup"
@arifaikailani5266,"MAFIA MINYAK BUKAN KALENG KALENG KORUPSI NYA . LAPORAN SETIAP TAHUN RUGI PADAHAL MASYARAKAT TIAP HARI BELI. . 
ORANG DAGANG SAYUR AJA BISA UNTUNG PERTAMINA DAGANG MINYAK RUGI WKWKWKW","mafia minyak bukan kaleng kaleng korupsi nya . laporan setiap tahun rugi padahal masyarakat tiap hari beli. . 
orang dagang sayur aja bisa untung pertamina dagang minyak rugi wkwkwkw"
@SurachmatArief,Kapan ya mentri ESDM ... di ganti..,kapan ya mentri esdm ... di ganti..
@senandika3328,"Bukan pak purbaya doang yg ga percaya, rakyat jg kok.","bukan pak purbaya doang yg ga percaya, rakyat jg kok."
@irzarosandiofficial2210,Kalau impor untung besar bagi yg ada d dalam lingkar tersebut,kalau impor untung besar bagi yg ada d dalam lingkar tersebut
