author,comment,clean_comment,normalized_comment
@RamadaniDani-n5f,Sdh tau over kenapa tidak buat kilang baru?,sdh tau over kenapa tidak buat kilang baru,sudah tau over kenapa tidak buat kilang baru
@Rojaleeofficialchanel,Over capacity tapi impor dari negara yg sama sekali gak punya tambang.. memalukan anjir😅😅😅,over capacity tapi impor dari negara yg sama sekali gak punya tambang memalukan anjir,over capacity tapi impor dari negara yang sama sekali gak punya tambang memalukan anjir
@FahrudinFahrudin-v9k,"Anggaran kilang bru dulu, yg kan di bgun anggaran nya di mana.......",anggaran kilang bru dulu yg kan di bgun anggaran nya di mana,anggaran kilang bru dulu yang kan di bgun anggaran nya di mana
@andwjy,Kesalahannya adalah kalau gak perlu impor nanti ada yang cuannya menurun 😂😂😂,kesalahannya adalah kalau gak perlu impor nanti ada yang cuannya menurun,kesalahannya adalah kalau gak perlu impor nanti ada yang cuannya menurun
@soelmate,"Buat pertamina..daripada bangun kilang mending jadi makelar kilang negara asinglah, dapat bonus persenan jelas, makanya pejabat yg berhubungan dgn pertamina subur2😂",buat pertamina daripada bangun kilang mending jadi makelar kilang negara asinglah dapat bonus persenan jelas makanya pejabat yg berhubungan dgn pertamina subur2,buat pertamina daripada bangun kilang mending jadi makelar kilang negara asinglah dapat bonus persenan jelas makanya pejabat yang berhubungan dengan pertamina subur2
@hellosemua156,Kelebihan emang disengaja.buat peluang korupsi,kelebihan emang disengaja buat peluang korupsi,kelebihan emang disengaja buat peluang korupsi
@budityo3231,Lanjutkan Pak Purbaya👍,lanjutkan pak purbaya,lanjutkan pak purbaya
@azrielvm676,"Premis 1 : Indonesia butuh Minyak Bumi agar bisa jalan roda ekonomi di semua sektor
Premis 2 : Mentri ESDM mengklaim Pertamina Overcapacity
Kesimpulan : Masih Impor Minyak dari negara lain

Itu namanya Fallacy pak 😂😂",premis 1 indonesia butuh minyak bumi agar bisa jalan roda ekonomi di semua sektor premis 2 mentri esdm mengklaim pertamina overcapacity kesimpulan masih impor minyak dari negara lain itu namanya fallacy pak,premis 1 indonesia butuh minyak bumi agar bisa jalan roda ekonomi di semua sektor premis 2 mentri esdm mengklaim pertamina overcapacity kesimpulan masih impor minyak dari negara lain itu namanya fallacy pak
@zulfanyahya1312,over capacity = import  😂😂😂😂,over capacity import,over capacity import
@ajizajisantoso3481,Dukung purbaya,dukung purbaya,dukung purbaya
@RancawuluhHariini,Kenapa kita masih diam saja!!,kenapa kita masih diam saja,kenapa kita masih diam saja
@ZainSatu,Kalau beli kan dapat fee oknum oknum itu makanya lebhi sukak belanja,kalau beli kan dapat fee oknum oknum itu makanya lebhi sukak belanja,kalau beli kan dapat fee oknum oknum itu makanya lebhi sukak belanja
@ketumbreproject,seru ih liat para anggota dewan saling ribut. semoga yang terbaik dan pro rakyat dia yang menang,seru ih liat para anggota dewan saling ribut semoga yang terbaik dan pro rakyat dia yang menang,seru ih liat para anggota dewan saling ribut semoga yang terbaik dan pro rakyat dia yang menang
@moonarc.illust3552,ESDM sumbernya uang. Mafianya penuh sesak dari menteri sampi ke level terbawah,esdm sumbernya uang mafianya penuh sesak dari menteri sampi ke level terbawah,esdm sumbernya uang mafianya penuh sesak dari menteri sampi ke level terbawah
@bellaeka5245,Jika pak purbaya tiba2 hilang misterius kita semua sudah tau kan ulahnya siapa.,jika pak purbaya tiba2 hilang misterius kita semua sudah tau kan ulahnya siapa,jika pak purbaya tiba2 hilang misterius kita semua sudah tau kan ulahnya siapa
@SugigiarGiar,GK heran klau pak Prabowo mempertanyak knp si Bahlil bisa jadi mentri😅,gk heran klau pak prabowo mempertanyak knp si bahlil bisa jadi mentri,tidak heran klau pak prabowo mempertanyak kenapa si bahlil bisa jadi mentri
@abdulkharis9866,Klo gk impor gk bs korupsi,klo gk impor gk bs korupsi,klo tidak impor tidak bs korupsi
@abykarsa,spertinya pak menkeu sangat jengkel sama pertamina 😂,spertinya pak menkeu sangat jengkel sama pertamina,spertinya pak menkeu sangat jengkel sama pertamina
@MRicoatharrazka,Menteri tanpa partai pasti berani,menteri tanpa partai pasti berani,menteri tanpa partai pasti berani
@aminamin6703,Betul kata pak mentri malas😁,betul kata pak mentri malas,betul kata pak mentri malas
@RafanAlghifari-i2t,Bahlul Bahlil banyak proses tapi gak ada pergerakan...😢😢,bahlul bahlil banyak proses tapi gak ada pergerakan,bahlul bahlil banyak proses tapi gak ada pergerakan
@baguspriyanto3968,Mafia di indonesia terlalu mengakar mantap pak purbaya lanjutkan,mafia di indonesia terlalu mengakar mantap pak purbaya lanjutkan,mafia di indonesia terlalu mengakar mantap pak purbaya lanjutkan
@kurniawanMU1810,"Impor teruss.. giliran income masuk kantong bahlil.. bilangnya pertamina rugi terusss
Bahlil ini lama lama ngeselin kaya mukanya",impor teruss giliran income masuk kantong bahlil bilangnya pertamina rugi terusss bahlil ini lama lama ngeselin kaya mukanya,impor teruss giliran income masuk kantong bahlil bilangnya pertamina rugi terusss bahlil ini lama lama ngeselin kaya mukanya
@FaizalFadil-d2w,Intinya ada receh kalau import...,intinya ada receh kalau import,intinya ada receh kalau import
@Hariyanto-z8v,Menteri titipan gelar dapet membeli mana bisa ngurus minyak,menteri titipan gelar dapet membeli mana bisa ngurus minyak,menteri titipan gelar dapet membeli mana bisa ngurus minyak
@guzalda_Channel,Thn 98 sampai sekarang itu jauh loh,thn 98 sampai sekarang itu jauh loh,thn 98 sampai sekarang itu jauh loh
@BayuWibowo-t2m,seakan akan memojokan pak purbaya.  😂,seakan akan memojokan pak purbaya,seakan akan memojokan pak purbaya
@mjmu1707,Order minyak shell melalui kalimantan..bos2 shell order sendiri,order minyak shell melalui kalimantan bos2 shell order sendiri,order minyak shell melalui kalimantan bos2 shell order sendiri
@CieL-ZZZ,bahlul oh bahlul 😂😂😂,bahlul oh bahlul,bahlul oh bahlul
@oktaviavia8112,"Pinter juga pak Prabowo ngangkat Menkeu yg baru, jadi nongol dehh satu persatu mafia Indonesia, alias garong negara...",pinter juga pak prabowo ngangkat menkeu yg baru jadi nongol dehh satu persatu mafia indonesia alias garong negara,pinter juga pak prabowo ngangkat menkeu yang baru jadi nongol dehh satu persatu mafia indonesia alias garong negara
@FujiAmar,Katanya Jokowi dulu mau bangun kilang ... Eh...komisaris yang mau bikin dipenjarakan....😂😂😂😂,katanya jokowi dulu mau bangun kilang eh komisaris yang mau bikin dipenjarakan,katanya jokowi dulu mau bangun kilang eh komisaris yang mau bikin dipenjarakan
@ZahraYumna-uo6tb,"Gua mau nanya perasaan gua pernah liat berita Bahlil di berhentikan oleh pak Prabowo knap sia masih aja kerja apa berita yg gua baca hoax, mohon yg tau jawab?",gua mau nanya perasaan gua pernah liat berita bahlil di berhentikan oleh pak prabowo knap sia masih aja kerja apa berita yg gua baca hoax mohon yg tau jawab,gua mau nanya perasaan gua pernah liat berita bahlil di berhentikan oleh pak prabowo knap sia masih saja kerja apa berita yang gua baca hoax mohon yang tau jawab
@Oksifit2023,Gaaaaz mas Puur,gaaaaz mas puur,gaaaaz mas puur
@bimacakrabuana9889,"Gmn gak overcapacity. Kan sudah import buat swasta, tapi swasta gak mau beli.. Ya overlah

Kelihatan banget klu sebenarnya kebijakan satu pintu ini cuma akal - akalan pertamina supaya gak ditekan buat kilang karena mereka bisa punya pembenaran dengan jawaban ""Kami overcapacity""",gmn gak overcapacity kan sudah import buat swasta tapi swasta gak mau beli ya overlah kelihatan banget klu sebenarnya kebijakan satu pintu ini cuma akal akalan pertamina supaya gak ditekan buat kilang karena mereka bisa punya pembenaran dengan jawaban kami overcapacity,gmn gak overcapacity kan sudah import buat swasta tapi swasta gak mau beli ya overlah kelihatan banget klu sebenarnya kebijakan satu pintu ini hanya akal akalan pertamina supaya gak ditekan buat kilang karena mereka bisa punya pembenaran dengan jawaban kami overcapacity
@EkoBayuSeto-i3r,"Beli minyak mentahnya langsung ke IRAN atau negara penghasil minyak  aja jgn pakai singapore atau negara barat, lalu di olah di kilang sendiri",beli minyak mentahnya langsung ke iran atau negara penghasil minyak aja jgn pakai singapore atau negara barat lalu di olah di kilang sendiri,beli minyak mentahnya langsung ke iran atau negara penghasil minyak saja jgn pakai singapore atau negara barat lalu di olah di kilang sendiri
@luckylucky1310,Maju terus Pak Purbaya...,maju terus pak purbaya,maju terus pak purbaya
@tsar_bomba_9,petinggi pertamina harus di regenerasi,petinggi pertamina harus di regenerasi,petinggi pertamina harus di regenerasi
@JhonWick-z9t,"Saya pribadi sangat tidak percaya kepada Bahlul.. Ehhh Bahlil... 
Bahlul Mentri tnp kinerja... Perlu juga utk segera di periksa KPK krn 1000% pasti terlibat korupsi 🎉",saya pribadi sangat tidak percaya kepada bahlul ehhh bahlil bahlul mentri tnp kinerja perlu juga utk segera di periksa kpk krn 1000 pasti terlibat korupsi,saya pribadi sangat tidak percaya kepada bahlul ehhh bahlil bahlul mentri tnp kinerja perlu juga untuk segera di periksa kpk karena 1000 pasti terlibat korupsi
@ayaniiz6025,"Ada kilang nol komisi, Impor dpt komisi byk",ada kilang nol komisi impor dpt komisi byk,ada kilang nol komisi impor dpt komisi byk
@dinosaurus6408,PAK PURBAYA ASET NEGARA MARI KITA JAGA DN DUKUNG... Bahlil gk ada manfaat utk rakyat..,pak purbaya aset negara mari kita jaga dn dukung bahlil gk ada manfaat utk rakyat,pak purbaya aset negara mari kita jaga dan dukung bahlil tidak ada manfaat untuk rakyat
@JoniIskandar-f5z,Luar biasa Mentri Purbaya,luar biasa mentri purbaya,luar biasa mentri purbaya
@lenisuryawati7808,"Pertamina selama ini dak berkembang dan stagnan alias diam ditempat dgn gaji besar org malas , memang betul pak Purbaya  Pertamina kumpulan org malas dgn gaji nesar",pertamina selama ini dak berkembang dan stagnan alias diam ditempat dgn gaji besar org malas memang betul pak purbaya pertamina kumpulan org malas dgn gaji nesar,pertamina selama ini dak berkembang dan stagnan alias diam ditempat dengan gaji besar org malas memang betul pak purbaya pertamina kumpulan org malas dengan gaji nesar
@nyomancetar8383,Dari PD uangnya d korup lebih baik membangun kilang uangnya jelas kegunaannya,dari pd uangnya d korup lebih baik membangun kilang uangnya jelas kegunaannya,dari pd uangnya d korup lebih baik membangun kilang uangnya jelas kegunaannya
@pixca2413,Yg tidak jujur tendang...SJ pak,yg tidak jujur tendang sj pak,yang tidak jujur tendang sj pak
@mrkimi3206,"Indonesia lebih hebat jaman Belanda, di jaman itu mereka aja bisa bangun kilang minyak masa skr jaman canggih malah ga bisa ya lucukan",indonesia lebih hebat jaman belanda di jaman itu mereka aja bisa bangun kilang minyak masa skr jaman canggih malah ga bisa ya lucukan,indonesia lebih hebat jaman belanda di jaman itu mereka saja bisa bangun kilang minyak masa skr jaman canggih malah tidak bisa ya lucukan
@catbert007,Projectnya disabot terus agar supply BBM tersandera ... Ya kann??,projectnya disabot terus agar supply bbm tersandera ya kann,projectnya disabot terus agar supply bbm tersandera ya kann
@DedeMamay-l1t,Bahlil mungkin nggak ngerti kejadian di Nepal.,bahlil mungkin nggak ngerti kejadian di nepal,bahlil mungkin tidak ngerti kejadian di nepal
@megabayuputra8807,Tanda2 bau2 3D ni ...duit..duit..duiit,tanda2 bau2 3d ni duit duit duiit,tanda2 bau2 3d ini duit duit duiit
@imronwaskito9311,"Lebih percaya Pak Pur, ❤",lebih percaya pak pur,lebih percaya pak pur
@adrianrayan563,Ngapain impor kalau masih banyak,ngapain impor kalau masih banyak,ngapain impor kalau masih banyak
@zulvianatafia2980,Lama lama kliatan ni Menuju bahlil usut si bahlil,lama lama kliatan ni menuju bahlil usut si bahlil,lama lama kliatan ini menuju bahlil usut si bahlil
@santuyychannel7650,"Dibakar 😂

Menyala Pak Purr",dibakar menyala pak purr,dibakar menyala pak purr
@DangdutKoploMania-t9k,kalau gak impor bahlul gak mandi solar dong:face-blue-smiling::face-blue-smiling::face-blue-smiling:,kalau gak impor bahlul gak mandi solar dong face blue smiling face blue smiling face blue smiling,kalau gak impor bahlul gak mandi solar dong face blue smiling face blue smiling face blue smiling
@hendranababan175,Kalau impor kan dapat uang masuk...,kalau impor kan dapat uang masuk,kalau impor kan dapat uang masuk
@rikahap324,Kelihatan kok...sapa yg pinter sapa yang pe'a 😊,kelihatan kok sapa yg pinter sapa yang pe a,kelihatan kok sapa yang pinter sapa yang pe a
@dearbono6943,"ITB vs tak terlacak, auranya jg beda jauh",itb vs tak terlacak auranya jg beda jauh,itb vs tak terlacak auranya jg beda jauh
@AmurMaru,"Indonesia itu luas tapi kok masih ngadelin impor, mafia minyak tambah kaya😂😂😂",indonesia itu luas tapi kok masih ngadelin impor mafia minyak tambah kaya,indonesia itu luas tapi kok masih ngadelin impor mafia minyak tambah kaya
@CINATURMUNGKUR,Jangan jangan tdk faham istilah over capacity,jangan jangan tdk faham istilah over capacity,jangan jangan tdk faham istilah over capacity
@mamikmedsos-go9bs,Harga nya minyak  mahal mmh rkyt di kibuli bae,harga nya minyak mahal mmh rkyt di kibuli bae,harga nya minyak mahal mmh rkyt di kibuli bae
@zayalwafa1834,"Kok bisa Bahlil di pakai, pak jenderal....buang ini orang.",kok bisa bahlil di pakai pak jenderal buang ini orang,kok bisa bahlil di pakai pak jenderal buang ini orang
@ukong8777,"Nah loh,makin curiga aja rakyat juga sama si Bahlil Bahlul itu.
Ini minimal udah ada tanggapan dari presiden nya,jangan diem",nah loh makin curiga aja rakyat juga sama si bahlil bahlul itu ini minimal udah ada tanggapan dari presiden nya jangan diem,nah loh makin curiga saja rakyat juga sama si bahlil bahlul itu ini minimal sudah ada tanggapan dari presiden nya jangan diem
@callmealdi,Coba diaudit ma auditor independen itu pertamina..,coba diaudit ma auditor independen itu pertamina,coba diaudit ma auditor independen itu pertamina
@bayuanggararockroll8043,Cacing mulai keluar siap siap yah,cacing mulai keluar siap siap yah,cacing mulai keluar siap siap yah
@supadi175,Saya dukung bapak menkeu 😊,saya dukung bapak menkeu,saya dukung bapak menkeu
@minangbana9488,Ganti bocah afrika itu✊✊,ganti bocah afrika itu,ganti bocah afrika itu
@RudiKurnia-j9u,"Bahlil masih di pertahankan di kabinet, padahal bisa nya apaaa ??",bahlil masih di pertahankan di kabinet padahal bisa nya apaaa,bahlil masih di pertahankan di kabinet padahal bisa nya apaaa
@FajarizkyAlamsyah,WKWKWKWKWKW .. KENAPA SIH ORANG NI NGOMONG NY GA DI FILTER DULU 😂,wkwkwkwkwkw kenapa sih orang ni ngomong ny ga di filter dulu,wkwkwkwkwkw kenapa sih orang ini ngomong ny tidak di filter dulu
@bipee3937,Wajib impor dari USA dan Saudi.,wajib impor dari usa dan saudi,wajib impor dari usa dan saudi
@bambangsugianto1532,"Blm tuntas simak video nya juga semua sdh paham Bahlil ngotot krn berkepentingan utk lindungi orang2 & oligarki genk nya agar tetep bisa bermain kotor di Minyak. Minyak itu bau, kotor dan licin spt Bahlil.",blm tuntas simak video nya juga semua sdh paham bahlil ngotot krn berkepentingan utk lindungi orang2 oligarki genk nya agar tetep bisa bermain kotor di minyak minyak itu bau kotor dan licin spt bahlil,belum tuntas simak video nya juga semua sudah paham bahlil ngotot karena berkepentingan untuk lindungi orang2 oligarki genk nya agar tetep bisa bermain kotor di minyak minyak itu bau kotor dan licin spt bahlil
@tioadiph,"Ngak ada yang percaya sama omongan Bahlil dan Pertamina, jelas menkeu ngak percaya juga 🤣",ngak ada yang percaya sama omongan bahlil dan pertamina jelas menkeu ngak percaya juga,ngak ada yang percaya sama omongan bahlil dan pertamina jelas menkeu ngak percaya juga
@sendokgarpu4569,Gass pak pur,gass pak pur,gass pak pur
@permen-f1m,Pejabatnya penghianat atau maling serahkan ke rakyat . Pasti beres,pejabatnya penghianat atau maling serahkan ke rakyat pasti beres,pejabatnya penghianat atau maling serahkan ke rakyat pasti beres
@analisa458,Suruh kontraktor China saja. Bikin kilang paling 1 bulan.,suruh kontraktor china saja bikin kilang paling 1 bulan,suruh kontraktor china saja bikin kilang paling 1 bulan
@gondes3120,Kocak omongan bahlil tetap tidak percaya seperti gas 3 kg dulu,kocak omongan bahlil tetap tidak percaya seperti gas 3 kg dulu,kocak omongan bahlil tetap tidak percaya seperti gas 3 kg dulu
@Pembersihwajah22,Supaya komisi impor terselubung tetap di rekening gendut,supaya komisi impor terselubung tetap di rekening gendut,supaya komisi impor terselubung tetap di rekening gendut
@mksidchannel,overcapacity minyak impor dan jika dibuatkan kilang sendiri hilang sudah uang sampingan untuk foya-foya,overcapacity minyak impor dan jika dibuatkan kilang sendiri hilang sudah uang sampingan untuk foya foya,overcapacity minyak impor dan jika dibuatkan kilang sendiri hilang sudah uang sampingan untuk foya foya
@lewifransiscusho,"1998-2025, 27 tahun belom bikin kilang baru. Sebodoh""nya manusia aja dengan anggapan gak sekolah sama sekali dari lahir, umur 27 tahun setidaknya dia pasti udah bisa jalan kaki. 🙄 Logikanya kalo sarana yang ada sudah tidak memadai ya sarananya ditambah. 27 tahun sama sekali gak ada nambah apa-apa ya sudah jelas ada kepentingan sekelompok yang diprioritaskan di atas kepentingan masyarakat dan negara. Bawa aja tuh duit ampe liang kubur. Wkwkw. Emangnya rakyat bego apa? Rakyat cuma sudah tidak peduli, lebih baik urus diri sendiri.",1998 2025 27 tahun belom bikin kilang baru sebodoh nya manusia aja dengan anggapan gak sekolah sama sekali dari lahir umur 27 tahun setidaknya dia pasti udah bisa jalan kaki logikanya kalo sarana yang ada sudah tidak memadai ya sarananya ditambah 27 tahun sama sekali gak ada nambah apa apa ya sudah jelas ada kepentingan sekelompok yang diprioritaskan di atas kepentingan masyarakat dan negara bawa aja tuh duit ampe liang kubur wkwkw emangnya rakyat bego apa rakyat cuma sudah tidak peduli lebih baik urus diri sendiri,1998 2025 27 tahun belom bikin kilang baru sebodoh nya manusia saja dengan anggapan gak sekolah sama sekali dari lahir umur 27 tahun setidaknya dia pasti sudah bisa jalan kaki logikanya kalo sarana yang ada sudah tidak memadai ya sarananya ditambah 27 tahun sama sekali gak ada nambah apa apa ya sudah jelas ada kepentingan sekelompok yang diprioritaskan di atas kepentingan masyarakat dan negara bawa saja tuh duit ampe liang kubur wkwkw emangnya rakyat bego apa rakyat hanya sudah tidak peduli lebih baik urus diri sendiri
@yohanespurnama547,"Pak Pur ..
Sy berandai sebagai pembisnis neeeh....


Mending IMPORT MINYAK laaah...

Kan bisa nitip 3%, 8%, 15% bahkan jika perlu 35% 

😂😂😂😂😂😂😂😂😂

Bisa liburan ke MARS",pak pur sy berandai sebagai pembisnis neeeh mending import minyak laaah kan bisa nitip 3 8 15 bahkan jika perlu 35 bisa liburan ke mars,pak pur sy berandai sebagai pembisnis neeeh mending import minyak laaah kan bisa nitip 3 8 15 bahkan jika perlu 35 bisa liburan ke mars
@sonisitumorang5906,DPR selalu tipu tipu rakyat.aji mumpung menjabat memper kaya sendiri,dpr selalu tipu tipu rakyat aji mumpung menjabat memper kaya sendiri,dpr selalu tipu tipu rakyat aji mumpung menjabat memper kaya sendiri
@BimaFaldi,100% apakah pak prabowo makan uang hasil pertamina yg seperti ini ?,100 apakah pak prabowo makan uang hasil pertamina yg seperti ini,100 apakah pak prabowo makan uang hasil pertamina yang seperti ini
@Sutikno-q3o,Over ko sering langka..lilll bahlil..emang bener bener bahlul lhooo,over ko sering langka lilll bahlil emang bener bener bahlul lhooo,over ko sering langka lilll bahlil emang bener bener bahlul lhooo
@travelernewsdolan2411,Knp import klu over?,knp import klu over,kenapa import klu over
@Rafan77-ex1rv,sehat selalu pak Purbaya,sehat selalu pak purbaya,sehat selalu pak purbaya
@djamessiahaan8531,"Udah lama kebusukan dan otak kotor Pertamina ini, yang jelas biar lancar bisnis impor para borjuis itu",udah lama kebusukan dan otak kotor pertamina ini yang jelas biar lancar bisnis impor para borjuis itu,sudah lama kebusukan dan otak kotor pertamina ini yang jelas biar lancar bisnis impor para borjuis itu
@satriofirmansyah1011,Nepal kan pejabat ya 😡,nepal kan pejabat ya,nepal kan pejabat ya
@antonysyah79,kalau mau gampangnya dan gk banyak mikir  ya impor. tapi berapa banyak dari proses impor itu bisa menyerap tenaga kerja dibandingkan kalau membangun kilang sendiri. biaya untuk proses produksi akan berputar/ dibelanjakan di kilang dimana negara asal. bayangkan jika produksi dilakukan di dalam negeri maka perputaran ekonominya pasti sangat terasa karena akan banyak menyerap tenaga kerja.,kalau mau gampangnya dan gk banyak mikir ya impor tapi berapa banyak dari proses impor itu bisa menyerap tenaga kerja dibandingkan kalau membangun kilang sendiri biaya untuk proses produksi akan berputar dibelanjakan di kilang dimana negara asal bayangkan jika produksi dilakukan di dalam negeri maka perputaran ekonominya pasti sangat terasa karena akan banyak menyerap tenaga kerja,kalau mau gampangnya dan tidak banyak mikir ya impor tapi berapa banyak dari proses impor itu bisa menyerap tenaga kerja dibandingkan kalau membangun kilang sendiri biaya untuk proses produksi akan berputar dibelanjakan di kilang dimana negara asal bayangkan jika produksi dilakukan di dalam negeri maka perputaran ekonominya pasti sangat terasa karena akan banyak menyerap tenaga kerja
@alvinalkarim4061,Kilang dari jaman orde Baru smpe skrng blm bngun lgi.... 😮😮😮😮,kilang dari jaman orde baru smpe skrng blm bngun lgi,kilang dari jaman orde baru smpe skrng belum bngun lgi
@Adhie18Dwipayana,Si goblin juga ngide buat kebijakan bbm lagi😢,si goblin juga ngide buat kebijakan bbm lagi,si goblin juga ngide buat kebijakan bbm lagi
@anggasuryaningrat7459,"apa nganggap rakyat indonesia bahlul semua
klo over capacity ngaps impor, klo over ya di ekspor ato dijual harga miring bkn mlah impor",apa nganggap rakyat indonesia bahlul semua klo over capacity ngaps impor klo over ya di ekspor ato dijual harga miring bkn mlah impor,apa nganggap rakyat indonesia bahlul semua klo over capacity ngaps impor klo over ya di ekspor ato dijual harga miring bkn mlah impor
@channelpakpuh528,dlu jaman jkw katanya dah bgun kilang...masih terngiang2...kata2..hilirisasi ya waktu bgun kilang itu...dan katanya freport 51% saham dah bisa direbut....😂😂😂😂 buktinya dagelan semua..taek ..taek...,dlu jaman jkw katanya dah bgun kilang masih terngiang2 kata2 hilirisasi ya waktu bgun kilang itu dan katanya freport 51 saham dah bisa direbut buktinya dagelan semua taek taek,dlu jaman jkw katanya sudah bgun kilang masih terngiang2 kata2 hilirisasi ya waktu bgun kilang itu dan katanya freport 51 saham sudah bisa direbut buktinya dagelan semua taek taek
@hendraHendra-n3x,"Segera habisin termul, buat runyam",segera habisin termul buat runyam,segera habisin termul buat runyam
@Dwtz_tour,😂😂😂 Omon omon Bah,omon omon bah,omon omon bah
@bagusmuhammadikhsan6187,Fokus pada proses yang mana Bahlul?,fokus pada proses yang mana bahlul,fokus pada proses yang mana bahlul
@utkstgg6847,Lanjutkan pak purbaya.,lanjutkan pak purbaya,lanjutkan pak purbaya
@triyani5455,"Org lulusan ITB dan ijasahnya asli nga bisa dikibulin yg mulia Bahlil...ente yg gelar doctor dibatalin harus mikir lawan lulusan ITB ijasah asli😂
Mantapp nih ada pejabat yg berani lawan mafia, smoga aja pak Prabowo Tdk mencopot pak Purbaya, Krn rejim yg sebelumnya kalo ada pejabat yg bersih dan jujur pasti diPHK😂",org lulusan itb dan ijasahnya asli nga bisa dikibulin yg mulia bahlil ente yg gelar doctor dibatalin harus mikir lawan lulusan itb ijasah asli mantapp nih ada pejabat yg berani lawan mafia smoga aja pak prabowo tdk mencopot pak purbaya krn rejim yg sebelumnya kalo ada pejabat yg bersih dan jujur pasti diphk,org lulusan itb dan ijasahnya asli nga bisa dikibulin yang mulia bahlil ente yang gelar doctor dibatalin harus mikir lawan lulusan itb ijasah asli mantapp ini ada pejabat yang berani lawan mafia smoga saja pak prabowo tdk mencopot pak purbaya karena rejim yang sebelumnya kalo ada pejabat yang bersih dan jujur pasti diphk
@ahmadheryawan5966,Purbaya next presidennnn,purbaya next presidennnn,purbaya next presidennnn
@sunrevolver,"Over capacity ini istilah sapu jagad yang kurang lengkap.
Harus ada parameter spesifikasinya dulu baru dari sana ditentukan kapasitas nya.
Bukan kapasitas overall yang termasuk didalamnya spesifikasi yang sudah obsolete",over capacity ini istilah sapu jagad yang kurang lengkap harus ada parameter spesifikasinya dulu baru dari sana ditentukan kapasitas nya bukan kapasitas overall yang termasuk didalamnya spesifikasi yang sudah obsolete,over capacity ini istilah sapu jagad yang kurang lengkap harus ada parameter spesifikasinya dulu baru dari sana ditentukan kapasitas nya bukan kapasitas overall yang termasuk didalamnya spesifikasi yang sudah obsolete
@novaanggara1878,Bahas juga etano,bahas juga etano,bahas juga etano
@dedyrushadmaka5137,Kenapa negara lain membangun kilang minyak dan menguntungkan?,kenapa negara lain membangun kilang minyak dan menguntungkan,kenapa negara lain membangun kilang minyak dan menguntungkan
@heriantoto6940,Mantap p@k menkeu..,mantap p menkeu,mantap p menkeu
@kankmanlee,mafia impor migas meninggalkan lane😂,mafia impor migas meninggalkan lane,mafia impor migas meninggalkan lane
@Suarasaktibaelah,Selama bahlil jd mentri akan semakin terpuruk indonesia,selama bahlil jd mentri akan semakin terpuruk indonesia,selama bahlil jadi mentri akan semakin terpuruk indonesia
@ramdhanansyari106,"Ngomong salah satu mafia tuh...
Klau bnyak kilang di Indonesia 
Otomatis import pun akan berkurang jatah Meraka pun akan berkurang 😀",ngomong salah satu mafia tuh klau bnyak kilang di indonesia otomatis import pun akan berkurang jatah meraka pun akan berkurang,ngomong salah satu mafia tuh klau bnyak kilang di indonesia otomatis import pun akan berkurang jatah meraka pun akan berkurang
@WorkFromHome-th2eq,Over capacity import nya kali 😅,over capacity import nya kali,over capacity import nya kali
@blackwindows404,Pak Bahlil banyak dapat amplop dari koruptor 📍#Singapore yang menggagalkan pembangunan kilang kilangmiyak,pak bahlil banyak dapat amplop dari koruptor yang menggagalkan pembangunan kilang kilangmiyak,pak bahlil banyak dapat amplop dari koruptor yang menggagalkan pembangunan kilang kilangmiyak
@bramawiraaringga2989,"Ngapain bangun kilang, import aja terus nanti mafia cukai mafia minyak dll dapet bagian juga ^^",ngapain bangun kilang import aja terus nanti mafia cukai mafia minyak dll dapet bagian juga,ngapain bangun kilang import saja terus nanti mafia cukai mafia minyak dll dapet bagian juga
@Yohanes_69,Nepal kan goblin udah gila over capacity 😂,nepal kan goblin udah gila over capacity,nepal kan goblin sudah gila over capacity
@Uchil22Official,"Bener"" Koboy pak pur",bener koboy pak pur,bener koboy pak pur
@AHMADKELIX,Yang gak pecaya Bahlil itu gak cuman Pak Purbaya saja.😂,yang gak pecaya bahlil itu gak cuman pak purbaya saja,yang gak pecaya bahlil itu gak cuman pak purbaya saja
@rozioz745,"Produsen&konsumen 
Ya lebih baik produsen",produsen konsumen ya lebih baik produsen,produsen konsumen ya lebih baik produsen
@Tonikrwag,Miara termul ya gini jadinya 😅,miara termul ya gini jadinya,miara termul ya gini jadinya
@bangbudy4823,Muaakk banget liat Bahlil,muaakk banget liat bahlil,muaakk banget liat bahlil
@FilmYoutub-h3n,"Maaf, kalo gw perhatiin , pa purbaya ini lagi main dua kaki , tp gw ga tau tujuannya apa ?
satu kaki dia merasa nyaman n betah di pemerintahan, tapi di kaki yg satu lagi layaknya seorang oposisi ,,",maaf kalo gw perhatiin pa purbaya ini lagi main dua kaki tp gw ga tau tujuannya apa satu kaki dia merasa nyaman n betah di pemerintahan tapi di kaki yg satu lagi layaknya seorang oposisi,maaf kalo saya perhatiin pa purbaya ini lagi main dua kaki tapi saya tidak tau tujuannya apa satu kaki dia merasa nyaman dan betah di pemerintahan tapi di kaki yang satu lagi layaknya seorang oposisi
@predibaribaki7877,Ayo pak prabowo..udah dong...udah jelas tu oknum nya...gassss lah pak presiden...ngapain masih ada dikabinet bapak...,ayo pak prabowo udah dong udah jelas tu oknum nya gassss lah pak presiden ngapain masih ada dikabinet bapak,ayo pak prabowo sudah dong sudah jelas tu oknum nya gassss lah pak presiden ngapain masih ada dikabinet bapak
