author,comment,clean_comment,tokens,bigrams
@solisujarwo2952,"Fokus proses apa? Proses impor...biar kamu dapat fee,Lil Bahlil....","fokus proses apa? proses impor...biar kamu dapat fee,lil bahlil....","['fokus', 'proses', 'apa', '?', 'proses', 'impor', '...', 'biar', 'kamu', 'dapat', 'fee', ',', 'lil', 'bahlil', '....']","[('fokus', 'proses'), ('proses', 'apa'), ('apa', '?'), ('?', 'proses'), ('proses', 'impor'), ('impor', '...'), ('...', 'biar'), ('biar', 'kamu'), ('kamu', 'dapat'), ('dapat', 'fee'), ('fee', ','), (',', 'lil'), ('lil', 'bahlil'), ('bahlil', '....')]"
@sulaemanmaman-m2f,Bayar pajak motor megapro....pajakny buat bayar mntri yg bahlul....nyesek...,bayar pajak motor megapro....pajakny buat bayar mntri yg bahlul....nyesek...,"['bayar', 'pajak', 'motor', 'megapro', '....', 'pajakny', 'buat', 'bayar', 'mntri', 'yg', 'bahlul', '....', 'nyesek', '...']","[('bayar', 'pajak'), ('pajak', 'motor'), ('motor', 'megapro'), ('megapro', '....'), ('....', 'pajakny'), ('pajakny', 'buat'), ('buat', 'bayar'), ('bayar', 'mntri'), ('mntri', 'yg'), ('yg', 'bahlul'), ('bahlul', '....'), ('....', 'nyesek'), ('nyesek', '...')]"
@zihanddika2634,"Memang pak Prabowo ahli strategis 
Pemain di balik layar","memang pak prabowo ahli strategis 
pemain di balik layar","['memang', 'pak', 'prabowo', 'ahli', 'strategis', 'pemain', 'di', 'balik', 'layar']","[('memang', 'pak'), ('pak', 'prabowo'), ('prabowo', 'ahli'), ('ahli', 'strategis'), ('strategis', 'pemain'), ('pemain', 'di'), ('di', 'balik'), ('balik', 'layar')]"
@aldihasibuan2384,"Sesuai keterangan ahli cari gampang Gk mau capek,Gk buat kilang baru biar infor minyak gas trus..mafia untung besar negara rugi..buat kilang baru woi Pertamina stop infortir... siapa yg komplain perlu diperiksa kejaksaan SM KPK","sesuai keterangan ahli cari gampang gk mau capek,gk buat kilang baru biar infor minyak gas trus..mafia untung besar negara rugi..buat kilang baru woi pertamina stop infortir... siapa yg komplain perlu diperiksa kejaksaan sm kpk","['sesuai', 'keterangan', 'ahli', 'cari', 'gampang', 'gk', 'mau', 'capek', ',', 'gk', 'buat', 'kilang', 'baru', 'biar', 'infor', 'minyak', 'gas', 'trus', '..', 'mafia', 'untung', 'besar', 'negara', 'rugi', '..', 'buat', 'kilang', 'baru', 'woi', 'pertamina', 'stop', 'infortir', '...', 'siapa', 'yg', 'komplain', 'perlu', 'diperiksa', 'kejaksaan', 'sm', 'kpk']","[('sesuai', 'keterangan'), ('keterangan', 'ahli'), ('ahli', 'cari'), ('cari', 'gampang'), ('gampang', 'gk'), ('gk', 'mau'), ('mau', 'capek'), ('capek', ','), (',', 'gk'), ('gk', 'buat'), ('buat', 'kilang'), ('kilang', 'baru'), ('baru', 'biar'), ('biar', 'infor'), ('infor', 'minyak'), ('minyak', 'gas'), ('gas', 'trus'), ('trus', '..'), ('..', 'mafia'), ('mafia', 'untung'), ('untung', 'besar'), ('besar', 'negara'), ('negara', 'rugi'), ('rugi', '..'), ('..', 'buat'), ('buat', 'kilang'), ('kilang', 'baru'), ('baru', 'woi'), ('woi', 'pertamina'), ('pertamina', 'stop'), ('stop', 'infortir'), ('infortir', '...'), ('...', 'siapa'), ('siapa', 'yg'), ('yg', 'komplain'), ('komplain', 'perlu'), ('perlu', 'diperiksa'), ('diperiksa', 'kejaksaan'), ('kejaksaan', 'sm'), ('sm', 'kpk')]"
@ngadiminsim3244,"Partai golkar ketua umumnya selalu bermasalah dgn sumber daya alam, yg kemarin kasus freeport emas skrg urusan migas","partai golkar ketua umumnya selalu bermasalah dgn sumber daya alam, yg kemarin kasus freeport emas skrg urusan migas","['partai', 'golkar', 'ketua', 'umumnya', 'selalu', 'bermasalah', 'dgn', 'sumber', 'daya', 'alam', ',', 'yg', 'kemarin', 'kasus', 'freeport', 'emas', 'skrg', 'urusan', 'migas']","[('partai', 'golkar'), ('golkar', 'ketua'), ('ketua', 'umumnya'), ('umumnya', 'selalu'), ('selalu', 'bermasalah'), ('bermasalah', 'dgn'), ('dgn', 'sumber'), ('sumber', 'daya'), ('daya', 'alam'), ('alam', ','), (',', 'yg'), ('yg', 'kemarin'), ('kemarin', 'kasus'), ('kasus', 'freeport'), ('freeport', 'emas'), ('emas', 'skrg'), ('skrg', 'urusan'), ('urusan', 'migas')]"
@muhammadakhiffarzanakhif2787,"Lanjutkan pak, banyak korupsi BBM, terutama","lanjutkan pak, banyak korupsi bbm, terutama","['lanjutkan', 'pak', ',', 'banyak', 'korupsi', 'bbm', ',', 'terutama']","[('lanjutkan', 'pak'), ('pak', ','), (',', 'banyak'), ('banyak', 'korupsi'), ('korupsi', 'bbm'), ('bbm', ','), (',', 'terutama')]"
@diamdila2299,"Jangan sampai kayak pabrik gula ,sudah warisan belanda.makin lama makin berkurang.bukannya nambah","jangan sampai kayak pabrik gula ,sudah warisan belanda.makin lama makin berkurang.bukannya nambah","['jangan', 'sampai', 'kayak', 'pabrik', 'gula', ',', 'sudah', 'warisan', 'belanda.makin', 'lama', 'makin', 'berkurang.bukannya', 'nambah']","[('jangan', 'sampai'), ('sampai', 'kayak'), ('kayak', 'pabrik'), ('pabrik', 'gula'), ('gula', ','), (',', 'sudah'), ('sudah', 'warisan'), ('warisan', 'belanda.makin'), ('belanda.makin', 'lama'), ('lama', 'makin'), ('makin', 'berkurang.bukannya'), ('berkurang.bukannya', 'nambah')]"
@ZaziliZili-b8s,"Ada katanya expor minyak, ini berita impor setiap hari","ada katanya expor minyak, ini berita impor setiap hari","['ada', 'katanya', 'expor', 'minyak', ',', 'ini', 'berita', 'impor', 'setiap', 'hari']","[('ada', 'katanya'), ('katanya', 'expor'), ('expor', 'minyak'), ('minyak', ','), (',', 'ini'), ('ini', 'berita'), ('berita', 'impor'), ('impor', 'setiap'), ('setiap', 'hari')]"
@OBLAXS,"Yg Pke bensin cm buat maen kudu di Data...pke CHIFT NFC KUDU PAKE  UMKM CARD...

Tepuk tangan buat ainx","yg pke bensin cm buat maen kudu di data...pke chift nfc kudu pake  umkm card...

tepuk tangan buat ainx","['yg', 'pke', 'bensin', 'cm', 'buat', 'maen', 'kudu', 'di', 'data', '...', 'pke', 'chift', 'nfc', 'kudu', 'pake', 'umkm', 'card', '...', 'tepuk', 'tangan', 'buat', 'ainx']","[('yg', 'pke'), ('pke', 'bensin'), ('bensin', 'cm'), ('cm', 'buat'), ('buat', 'maen'), ('maen', 'kudu'), ('kudu', 'di'), ('di', 'data'), ('data', '...'), ('...', 'pke'), ('pke', 'chift'), ('chift', 'nfc'), ('nfc', 'kudu'), ('kudu', 'pake'), ('pake', 'umkm'), ('umkm', 'card'), ('card', '...'), ('...', 'tepuk'), ('tepuk', 'tangan'), ('tangan', 'buat'), ('buat', 'ainx')]"
@wagiminwagimin6917,Lanjut pk Purbaya biar pejabat2 yg cari untung biar ketahuan,lanjut pk purbaya biar pejabat2 yg cari untung biar ketahuan,"['lanjut', 'pk', 'purbaya', 'biar', 'pejabat2', 'yg', 'cari', 'untung', 'biar', 'ketahuan']","[('lanjut', 'pk'), ('pk', 'purbaya'), ('purbaya', 'biar'), ('biar', 'pejabat2'), ('pejabat2', 'yg'), ('yg', 'cari'), ('cari', 'untung'), ('untung', 'biar'), ('biar', 'ketahuan')]"
@budikebluk,Klu impor kan dapat cuannya banyak klu ngolah sendiri ya ga dapat cuanlah,klu impor kan dapat cuannya banyak klu ngolah sendiri ya ga dapat cuanlah,"['klu', 'impor', 'kan', 'dapat', 'cuannya', 'banyak', 'klu', 'ngolah', 'sendiri', 'ya', 'ga', 'dapat', 'cuanlah']","[('klu', 'impor'), ('impor', 'kan'), ('kan', 'dapat'), ('dapat', 'cuannya'), ('cuannya', 'banyak'), ('banyak', 'klu'), ('klu', 'ngolah'), ('ngolah', 'sendiri'), ('sendiri', 'ya'), ('ya', 'ga'), ('ga', 'dapat'), ('dapat', 'cuanlah')]"
@leevangobel1749,"Gak usah berdebat, sebenarnya indonesia butuh kilang apa tidak ? Kendala nya apa? Kalo gak bisa selesaikan, copot saja mereka","gak usah berdebat, sebenarnya indonesia butuh kilang apa tidak ? kendala nya apa? kalo gak bisa selesaikan, copot saja mereka","['gak', 'usah', 'berdebat', ',', 'sebenarnya', 'indonesia', 'butuh', 'kilang', 'apa', 'tidak', '?', 'kendala', 'nya', 'apa', '?', 'kalo', 'gak', 'bisa', 'selesaikan', ',', 'copot', 'saja', 'mereka']","[('gak', 'usah'), ('usah', 'berdebat'), ('berdebat', ','), (',', 'sebenarnya'), ('sebenarnya', 'indonesia'), ('indonesia', 'butuh'), ('butuh', 'kilang'), ('kilang', 'apa'), ('apa', 'tidak'), ('tidak', '?'), ('?', 'kendala'), ('kendala', 'nya'), ('nya', 'apa'), ('apa', '?'), ('?', 'kalo'), ('kalo', 'gak'), ('gak', 'bisa'), ('bisa', 'selesaikan'), ('selesaikan', ','), (',', 'copot'), ('copot', 'saja'), ('saja', 'mereka')]"
@dedyprasetyo2020,"Pertamina sarang koruptor, jadi butuh seseorang yg berani dan taat peraturan, sepertinya perlu rombak besar besaran","pertamina sarang koruptor, jadi butuh seseorang yg berani dan taat peraturan, sepertinya perlu rombak besar besaran","['pertamina', 'sarang', 'koruptor', ',', 'jadi', 'butuh', 'seseorang', 'yg', 'berani', 'dan', 'taat', 'peraturan', ',', 'sepertinya', 'perlu', 'rombak', 'besar', 'besaran']","[('pertamina', 'sarang'), ('sarang', 'koruptor'), ('koruptor', ','), (',', 'jadi'), ('jadi', 'butuh'), ('butuh', 'seseorang'), ('seseorang', 'yg'), ('yg', 'berani'), ('berani', 'dan'), ('dan', 'taat'), ('taat', 'peraturan'), ('peraturan', ','), (',', 'sepertinya'), ('sepertinya', 'perlu'), ('perlu', 'rombak'), ('rombak', 'besar'), ('besar', 'besaran')]"
@prabuam62,pak tolong Selamatkan PT.BADAK.NGL dari tangan kotor 🙏🏼,pak tolong selamatkan pt.badak.ngl dari tangan kotor 🙏🏼,"['pak', 'tolong', 'selamatkan', 'pt.badak.ngl', 'dari', 'tangan', 'kotor', '🙏🏼']","[('pak', 'tolong'), ('tolong', 'selamatkan'), ('selamatkan', 'pt.badak.ngl'), ('pt.badak.ngl', 'dari'), ('dari', 'tangan'), ('tangan', 'kotor'), ('kotor', '🙏🏼')]"
@witaputri5134,Pertamina itu menghitung kilang yg belum beroperasi dan tidak menghitung loss coss impor barang jadi,pertamina itu menghitung kilang yg belum beroperasi dan tidak menghitung loss coss impor barang jadi,"['pertamina', 'itu', 'menghitung', 'kilang', 'yg', 'belum', 'beroperasi', 'dan', 'tidak', 'menghitung', 'loss', 'coss', 'impor', 'barang', 'jadi']","[('pertamina', 'itu'), ('itu', 'menghitung'), ('menghitung', 'kilang'), ('kilang', 'yg'), ('yg', 'belum'), ('belum', 'beroperasi'), ('beroperasi', 'dan'), ('dan', 'tidak'), ('tidak', 'menghitung'), ('menghitung', 'loss'), ('loss', 'coss'), ('coss', 'impor'), ('impor', 'barang'), ('barang', 'jadi')]"
@umbuhone,Gugat saja Pertamina dan kementrian BUMN serta Migas karena menjadi dalang kurangnya pemasukan PAJAK NEGARA DAN KAS. Buktinya Usaha bisnis di Indonesia tidak membantu kemajuan kenaikan produksi atau kapasitas penjualan dari usaha yg dilakukan perusahaan2 negara maupun swasta yg bersangkutan dg BUMN dan kebijakan negara. Maka Pajak negara tidak berhasil ditambah karena tidak adanya pemasukan oleh ribuan pengusaha sehubungan bidang BUMN dan MIGAS,gugat saja pertamina dan kementrian bumn serta migas karena menjadi dalang kurangnya pemasukan pajak negara dan kas. buktinya usaha bisnis di indonesia tidak membantu kemajuan kenaikan produksi atau kapasitas penjualan dari usaha yg dilakukan perusahaan2 negara maupun swasta yg bersangkutan dg bumn dan kebijakan negara. maka pajak negara tidak berhasil ditambah karena tidak adanya pemasukan oleh ribuan pengusaha sehubungan bidang bumn dan migas,"['gugat', 'saja', 'pertamina', 'dan', 'kementrian', 'bumn', 'serta', 'migas', 'karena', 'menjadi', 'dalang', 'kurangnya', 'pemasukan', 'pajak', 'negara', 'dan', 'kas', '.', 'buktinya', 'usaha', 'bisnis', 'di', 'indonesia', 'tidak', 'membantu', 'kemajuan', 'kenaikan', 'produksi', 'atau', 'kapasitas', 'penjualan', 'dari', 'usaha', 'yg', 'dilakukan', 'perusahaan2', 'negara', 'maupun', 'swasta', 'yg', 'bersangkutan', 'dg', 'bumn', 'dan', 'kebijakan', 'negara', '.', 'maka', 'pajak', 'negara', 'tidak', 'berhasil', 'ditambah', 'karena', 'tidak', 'adanya', 'pemasukan', 'oleh', 'ribuan', 'pengusaha', 'sehubungan', 'bidang', 'bumn', 'dan', 'migas']","[('gugat', 'saja'), ('saja', 'pertamina'), ('pertamina', 'dan'), ('dan', 'kementrian'), ('kementrian', 'bumn'), ('bumn', 'serta'), ('serta', 'migas'), ('migas', 'karena'), ('karena', 'menjadi'), ('menjadi', 'dalang'), ('dalang', 'kurangnya'), ('kurangnya', 'pemasukan'), ('pemasukan', 'pajak'), ('pajak', 'negara'), ('negara', 'dan'), ('dan', 'kas'), ('kas', '.'), ('.', 'buktinya'), ('buktinya', 'usaha'), ('usaha', 'bisnis'), ('bisnis', 'di'), ('di', 'indonesia'), ('indonesia', 'tidak'), ('tidak', 'membantu'), ('membantu', 'kemajuan'), ('kemajuan', 'kenaikan'), ('kenaikan', 'produksi'), ('produksi', 'atau'), ('atau', 'kapasitas'), ('kapasitas', 'penjualan'), ('penjualan', 'dari'), ('dari', 'usaha'), ('usaha', 'yg'), ('yg', 'dilakukan'), ('dilakukan', 'perusahaan2'), ('perusahaan2', 'negara'), ('negara', 'maupun'), ('maupun', 'swasta'), ('swasta', 'yg'), ('yg', 'bersangkutan'), ('bersangkutan', 'dg'), ('dg', 'bumn'), ('bumn', 'dan'), ('dan', 'kebijakan'), ('kebijakan', 'negara'), ('negara', '.'), ('.', 'maka'), ('maka', 'pajak'), ('pajak', 'negara'), ('negara', 'tidak'), ('tidak', 'berhasil'), ('berhasil', 'ditambah'), ('ditambah', 'karena'), ('karena', 'tidak'), ('tidak', 'adanya'), ('adanya', 'pemasukan'), ('pemasukan', 'oleh'), ('oleh', 'ribuan'), ('ribuan', 'pengusaha'), ('pengusaha', 'sehubungan'), ('sehubungan', 'bidang'), ('bidang', 'bumn'), ('bumn', 'dan'), ('dan', 'migas')]"
@mbuhbaewis,overcapacity pejabat korup. itu yg bener!!!!!!!!!!!!!!,overcapacity pejabat korup. itu yg bener!!!!!!!!!!!!!!,"['overcapacity', 'pejabat', 'korup', '.', 'itu', 'yg', 'bener', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']","[('overcapacity', 'pejabat'), ('pejabat', 'korup'), ('korup', '.'), ('.', 'itu'), ('itu', 'yg'), ('yg', 'bener'), ('bener', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!'), ('!', '!')]"
@elkhairyTv,Maju Terus Pak Pur🎉,maju terus pak pur🎉,"['maju', 'terus', 'pak', 'pur🎉']","[('maju', 'terus'), ('terus', 'pak'), ('pak', 'pur🎉')]"
@juruselamatjuruselamat,asyik  nich  pejabat  saling bantah...  makin seru  ga  jelas  arah pemerintah  ini wk..wk..wk..,asyik  nich  pejabat  saling bantah...  makin seru  ga  jelas  arah pemerintah  ini wk..wk..wk..,"['asyik', 'nich', 'pejabat', 'saling', 'bantah', '...', 'makin', 'seru', 'ga', 'jelas', 'arah', 'pemerintah', 'ini', 'wk', '..', 'wk', '..', 'wk', '..']","[('asyik', 'nich'), ('nich', 'pejabat'), ('pejabat', 'saling'), ('saling', 'bantah'), ('bantah', '...'), ('...', 'makin'), ('makin', 'seru'), ('seru', 'ga'), ('ga', 'jelas'), ('jelas', 'arah'), ('arah', 'pemerintah'), ('pemerintah', 'ini'), ('ini', 'wk'), ('wk', '..'), ('..', 'wk'), ('wk', '..'), ('..', 'wk'), ('wk', '..')]"
@AnggiFormosq,"Dlu sempat bredar desas desus bahwasa.nya banyak BBM yg trcampur air,tak lama kjadian trus tba tba trjdi kbkaran kilang minyak di Balongan Indramayu gra gra trsaber petir 😂😂lawakkk

Orang cerdas pasti tau teka teki ini . . .","dlu sempat bredar desas desus bahwasa.nya banyak bbm yg trcampur air,tak lama kjadian trus tba tba trjdi kbkaran kilang minyak di balongan indramayu gra gra trsaber petir 😂😂lawakkk

orang cerdas pasti tau teka teki ini . . .","['dlu', 'sempat', 'bredar', 'desas', 'desus', 'bahwasa.nya', 'banyak', 'bbm', 'yg', 'trcampur', 'air', ',', 'tak', 'lama', 'kjadian', 'trus', 'tba', 'tba', 'trjdi', 'kbkaran', 'kilang', 'minyak', 'di', 'balongan', 'indramayu', 'gra', 'gra', 'trsaber', 'petir', '😂😂lawakkk', 'orang', 'cerdas', 'pasti', 'tau', 'teka', 'teki', 'ini', '.', '.', '.']","[('dlu', 'sempat'), ('sempat', 'bredar'), ('bredar', 'desas'), ('desas', 'desus'), ('desus', 'bahwasa.nya'), ('bahwasa.nya', 'banyak'), ('banyak', 'bbm'), ('bbm', 'yg'), ('yg', 'trcampur'), ('trcampur', 'air'), ('air', ','), (',', 'tak'), ('tak', 'lama'), ('lama', 'kjadian'), ('kjadian', 'trus'), ('trus', 'tba'), ('tba', 'tba'), ('tba', 'trjdi'), ('trjdi', 'kbkaran'), ('kbkaran', 'kilang'), ('kilang', 'minyak'), ('minyak', 'di'), ('di', 'balongan'), ('balongan', 'indramayu'), ('indramayu', 'gra'), ('gra', 'gra'), ('gra', 'trsaber'), ('trsaber', 'petir'), ('petir', '😂😂lawakkk'), ('😂😂lawakkk', 'orang'), ('orang', 'cerdas'), ('cerdas', 'pasti'), ('pasti', 'tau'), ('tau', 'teka'), ('teka', 'teki'), ('teki', 'ini'), ('ini', '.'), ('.', '.'), ('.', '.')]"
@aminCeotlomart,"Klo kilang nambah mafia sulit impor nantinya, cuan jadi kurang dong","klo kilang nambah mafia sulit impor nantinya, cuan jadi kurang dong","['klo', 'kilang', 'nambah', 'mafia', 'sulit', 'impor', 'nantinya', ',', 'cuan', 'jadi', 'kurang', 'dong']","[('klo', 'kilang'), ('kilang', 'nambah'), ('nambah', 'mafia'), ('mafia', 'sulit'), ('sulit', 'impor'), ('impor', 'nantinya'), ('nantinya', ','), (',', 'cuan'), ('cuan', 'jadi'), ('jadi', 'kurang'), ('kurang', 'dong')]"
@sofimaulanapkl3629,"Gaji pegawai pertamina gak ada otak , gaji sama pemasukan perusahaan jomplang kali ya","gaji pegawai pertamina gak ada otak , gaji sama pemasukan perusahaan jomplang kali ya","['gaji', 'pegawai', 'pertamina', 'gak', 'ada', 'otak', ',', 'gaji', 'sama', 'pemasukan', 'perusahaan', 'jomplang', 'kali', 'ya']","[('gaji', 'pegawai'), ('pegawai', 'pertamina'), ('pertamina', 'gak'), ('gak', 'ada'), ('ada', 'otak'), ('otak', ','), (',', 'gaji'), ('gaji', 'sama'), ('sama', 'pemasukan'), ('pemasukan', 'perusahaan'), ('perusahaan', 'jomplang'), ('jomplang', 'kali'), ('kali', 'ya')]"
@MacanKumis,Impor mulu impor mulu. Males banget kerja .,impor mulu impor mulu. males banget kerja .,"['impor', 'mulu', 'impor', 'mulu', '.', 'males', 'banget', 'kerja', '.']","[('impor', 'mulu'), ('mulu', 'impor'), ('impor', 'mulu'), ('mulu', '.'), ('.', 'males'), ('males', 'banget'), ('banget', 'kerja'), ('kerja', '.')]"
@KarTono-b9y,Bahlul...pecat saja..kalo Mentri nya pada bahlul...maju trus pak menkeu,bahlul...pecat saja..kalo mentri nya pada bahlul...maju trus pak menkeu,"['bahlul', '...', 'pecat', 'saja', '..', 'kalo', 'mentri', 'nya', 'pada', 'bahlul', '...', 'maju', 'trus', 'pak', 'menkeu']","[('bahlul', '...'), ('...', 'pecat'), ('pecat', 'saja'), ('saja', '..'), ('..', 'kalo'), ('kalo', 'mentri'), ('mentri', 'nya'), ('nya', 'pada'), ('pada', 'bahlul'), ('bahlul', '...'), ('...', 'maju'), ('maju', 'trus'), ('trus', 'pak'), ('pak', 'menkeu')]"
@jajatsudrajat4596,Kami percaya pak Purbaya jujur... Dan buat Bahlil Lahadalia segera tobat dr dosa besar sebelum azab pedih kau nikmati di dunia dan neraka,kami percaya pak purbaya jujur... dan buat bahlil lahadalia segera tobat dr dosa besar sebelum azab pedih kau nikmati di dunia dan neraka,"['kami', 'percaya', 'pak', 'purbaya', 'jujur', '...', 'dan', 'buat', 'bahlil', 'lahadalia', 'segera', 'tobat', 'dr', 'dosa', 'besar', 'sebelum', 'azab', 'pedih', 'kau', 'nikmati', 'di', 'dunia', 'dan', 'neraka']","[('kami', 'percaya'), ('percaya', 'pak'), ('pak', 'purbaya'), ('purbaya', 'jujur'), ('jujur', '...'), ('...', 'dan'), ('dan', 'buat'), ('buat', 'bahlil'), ('bahlil', 'lahadalia'), ('lahadalia', 'segera'), ('segera', 'tobat'), ('tobat', 'dr'), ('dr', 'dosa'), ('dosa', 'besar'), ('besar', 'sebelum'), ('sebelum', 'azab'), ('azab', 'pedih'), ('pedih', 'kau'), ('kau', 'nikmati'), ('nikmati', 'di'), ('di', 'dunia'), ('dunia', 'dan'), ('dan', 'neraka')]"
@iissupiah8604,Mudah-mudahan pak purbaya sekeluarga ada dalam lindungan Allah,mudah-mudahan pak purbaya sekeluarga ada dalam lindungan allah,"['mudah-mudahan', 'pak', 'purbaya', 'sekeluarga', 'ada', 'dalam', 'lindungan', 'allah']","[('mudah-mudahan', 'pak'), ('pak', 'purbaya'), ('purbaya', 'sekeluarga'), ('sekeluarga', 'ada'), ('ada', 'dalam'), ('dalam', 'lindungan'), ('lindungan', 'allah')]"
@alfathganta965,Yang menghalangi itulah mafianya😅,yang menghalangi itulah mafianya😅,"['yang', 'menghalangi', 'itulah', 'mafianya😅']","[('yang', 'menghalangi'), ('menghalangi', 'itulah'), ('itulah', 'mafianya😅')]"
@EdyJambi-p5p,Sebelum kilang minyak selesai dibangun /berproduksi tak bisa dikstakan tambah kilang.,sebelum kilang minyak selesai dibangun /berproduksi tak bisa dikstakan tambah kilang.,"['sebelum', 'kilang', 'minyak', 'selesai', 'dibangun', '/berproduksi', 'tak', 'bisa', 'dikstakan', 'tambah', 'kilang', '.']","[('sebelum', 'kilang'), ('kilang', 'minyak'), ('minyak', 'selesai'), ('selesai', 'dibangun'), ('dibangun', '/berproduksi'), ('/berproduksi', 'tak'), ('tak', 'bisa'), ('bisa', 'dikstakan'), ('dikstakan', 'tambah'), ('tambah', 'kilang'), ('kilang', '.')]"
@kasamago,kasihan Purbaya klo Bahlil masih belum di pecat..,kasihan purbaya klo bahlil masih belum di pecat..,"['kasihan', 'purbaya', 'klo', 'bahlil', 'masih', 'belum', 'di', 'pecat', '..']","[('kasihan', 'purbaya'), ('purbaya', 'klo'), ('klo', 'bahlil'), ('bahlil', 'masih'), ('masih', 'belum'), ('belum', 'di'), ('di', 'pecat'), ('pecat', '..')]"
@LeoTzzzzz,Copot² itu dah males liat nya,copot² itu dah males liat nya,"['copot²', 'itu', 'dah', 'males', 'liat', 'nya']","[('copot²', 'itu'), ('itu', 'dah'), ('dah', 'males'), ('males', 'liat'), ('liat', 'nya')]"
@Antonjore,"Ampe laut Sulawesi di ambil Malaysia buat bangun kilang, Lol","ampe laut sulawesi di ambil malaysia buat bangun kilang, lol","['ampe', 'laut', 'sulawesi', 'di', 'ambil', 'malaysia', 'buat', 'bangun', 'kilang', ',', 'lol']","[('ampe', 'laut'), ('laut', 'sulawesi'), ('sulawesi', 'di'), ('di', 'ambil'), ('ambil', 'malaysia'), ('malaysia', 'buat'), ('buat', 'bangun'), ('bangun', 'kilang'), ('kilang', ','), (',', 'lol')]"
@bowokartun6846,Menteri yang tidak patuh kok masih dipertahan to pak Prabowo,menteri yang tidak patuh kok masih dipertahan to pak prabowo,"['menteri', 'yang', 'tidak', 'patuh', 'kok', 'masih', 'dipertahan', 'to', 'pak', 'prabowo']","[('menteri', 'yang'), ('yang', 'tidak'), ('tidak', 'patuh'), ('patuh', 'kok'), ('kok', 'masih'), ('masih', 'dipertahan'), ('dipertahan', 'to'), ('to', 'pak'), ('pak', 'prabowo')]"
@hendrabagus01,maju truss pak Purbaya 🔥🔥🔥,maju truss pak purbaya 🔥🔥🔥,"['maju', 'truss', 'pak', 'purbaya', '🔥🔥🔥']","[('maju', 'truss'), ('truss', 'pak'), ('pak', 'purbaya'), ('purbaya', '🔥🔥🔥')]"
@ahmadwahyudi8431,"Ayolah pak presiden, pecat menteri yg gak kompeten. Kalo mau indonesia emas, ambil orang² emas bukan batu kerikil","ayolah pak presiden, pecat menteri yg gak kompeten. kalo mau indonesia emas, ambil orang² emas bukan batu kerikil","['ayolah', 'pak', 'presiden', ',', 'pecat', 'menteri', 'yg', 'gak', 'kompeten', '.', 'kalo', 'mau', 'indonesia', 'emas', ',', 'ambil', 'orang²', 'emas', 'bukan', 'batu', 'kerikil']","[('ayolah', 'pak'), ('pak', 'presiden'), ('presiden', ','), (',', 'pecat'), ('pecat', 'menteri'), ('menteri', 'yg'), ('yg', 'gak'), ('gak', 'kompeten'), ('kompeten', '.'), ('.', 'kalo'), ('kalo', 'mau'), ('mau', 'indonesia'), ('indonesia', 'emas'), ('emas', ','), (',', 'ambil'), ('ambil', 'orang²'), ('orang²', 'emas'), ('emas', 'bukan'), ('bukan', 'batu'), ('batu', 'kerikil')]"
@hansreditya789,Hajar terus pak!,hajar terus pak!,"['hajar', 'terus', 'pak', '!']","[('hajar', 'terus'), ('terus', 'pak'), ('pak', '!')]"
@HediFariadhi,Komisaris n pejabat hasil dari politik yg menjabat yg gajinya ratusan juta n bonus milyaran ngk ada kerjaannya cuman jdi bnalu,komisaris n pejabat hasil dari politik yg menjabat yg gajinya ratusan juta n bonus milyaran ngk ada kerjaannya cuman jdi bnalu,"['komisaris', 'n', 'pejabat', 'hasil', 'dari', 'politik', 'yg', 'menjabat', 'yg', 'gajinya', 'ratusan', 'juta', 'n', 'bonus', 'milyaran', 'ngk', 'ada', 'kerjaannya', 'cuman', 'jdi', 'bnalu']","[('komisaris', 'n'), ('n', 'pejabat'), ('pejabat', 'hasil'), ('hasil', 'dari'), ('dari', 'politik'), ('politik', 'yg'), ('yg', 'menjabat'), ('menjabat', 'yg'), ('yg', 'gajinya'), ('gajinya', 'ratusan'), ('ratusan', 'juta'), ('juta', 'n'), ('n', 'bonus'), ('bonus', 'milyaran'), ('milyaran', 'ngk'), ('ngk', 'ada'), ('ada', 'kerjaannya'), ('kerjaannya', 'cuman'), ('cuman', 'jdi'), ('jdi', 'bnalu')]"
