author,comment,clean_comment,tokens,filtered_comment
@FahrudinFahrudin-v9k,"Anggaran kilang bru dulu, yg kan di bgun anggaran nya di mana.......",anggaran kilang bru dulu yg kan di bgun anggaran nya di mana,"['anggaran', 'kilang', 'bru', 'dulu', 'yg', 'kan', 'di', 'bgun', 'anggaran', 'nya', 'di', 'mana']",anggaran kilang bru yg bgun anggaran nya
@andwjy,Kesalahannya adalah kalau gak perlu impor nanti ada yang cuannya menurun 😂😂😂,kesalahannya adalah kalau gak perlu impor nanti ada yang cuannya menurun,"['kesalahannya', 'adalah', 'kalau', 'gak', 'perlu', 'impor', 'nanti', 'ada', 'yang', 'cuannya', 'menurun']",kesalahannya gak impor cuannya menurun
@soelmate,"Buat pertamina..daripada bangun kilang mending jadi makelar kilang negara asinglah, dapat bonus persenan jelas, makanya pejabat yg berhubungan dgn pertamina subur2😂",buat pertaminadaripada bangun kilang mending jadi makelar kilang negara asinglah dapat bonus persenan jelas makanya pejabat yg berhubungan dgn pertamina subur,"['buat', 'pertaminadaripada', 'bangun', 'kilang', 'mending', 'jadi', 'makelar', 'kilang', 'negara', 'asinglah', 'dapat', 'bonus', 'persenan', 'jelas', 'makanya', 'pejabat', 'yg', 'berhubungan', 'dgn', 'pertamina', 'subur']",pertaminadaripada bangun kilang mending makelar kilang negara asinglah bonus persenan pejabat yg berhubungan dgn pertamina subur
@hellosemua156,Kelebihan emang disengaja.buat peluang korupsi,kelebihan emang disengajabuat peluang korupsi,"['kelebihan', 'emang', 'disengajabuat', 'peluang', 'korupsi']",kelebihan emang disengajabuat peluang korupsi
@budityo3231,Lanjutkan Pak Purbaya👍,lanjutkan pak purbaya,"['lanjutkan', 'pak', 'purbaya']",lanjutkan purbaya
@azrielvm676,"Premis 1 : Indonesia butuh Minyak Bumi agar bisa jalan roda ekonomi di semua sektor
Premis 2 : Mentri ESDM mengklaim Pertamina Overcapacity
Kesimpulan : Masih Impor Minyak dari negara lain

Itu namanya Fallacy pak 😂😂","premis   indonesia butuh minyak bumi agar bisa jalan roda ekonomi di semua sektor
premis   mentri esdm mengklaim pertamina overcapacity
kesimpulan  masih impor minyak dari negara lain

itu namanya fallacy pak","['premis', 'indonesia', 'butuh', 'minyak', 'bumi', 'agar', 'bisa', 'jalan', 'roda', 'ekonomi', 'di', 'semua', 'sektor', 'premis', 'mentri', 'esdm', 'mengklaim', 'pertamina', 'overcapacity', 'kesimpulan', 'masih', 'impor', 'minyak', 'dari', 'negara', 'lain', 'itu', 'namanya', 'fallacy', 'pak']",premis indonesia butuh minyak bumi jalan roda ekonomi sektor premis mentri esdm mengklaim pertamina overcapacity kesimpulan impor minyak negara namanya fallacy
@zulfanyahya1312,over capacity = import  😂😂😂😂,over capacity  import,"['over', 'capacity', 'import']",over capacity import
@ajizajisantoso3481,Dukung purbaya,dukung purbaya,"['dukung', 'purbaya']",dukung purbaya
@RancawuluhHariini,Kenapa kita masih diam saja!!,kenapa kita masih diam saja,"['kenapa', 'kita', 'masih', 'diam', 'saja']",diam
@ZainSatu,Kalau beli kan dapat fee oknum oknum itu makanya lebhi sukak belanja,kalau beli kan dapat fee oknum oknum itu makanya lebhi sukak belanja,"['kalau', 'beli', 'kan', 'dapat', 'fee', 'oknum', 'oknum', 'itu', 'makanya', 'lebhi', 'sukak', 'belanja']",beli fee oknum oknum lebhi sukak belanja
@ketumbreproject,seru ih liat para anggota dewan saling ribut. semoga yang terbaik dan pro rakyat dia yang menang,seru ih liat para anggota dewan saling ribut semoga yang terbaik dan pro rakyat dia yang menang,"['seru', 'ih', 'liat', 'para', 'anggota', 'dewan', 'saling', 'ribut', 'semoga', 'yang', 'terbaik', 'dan', 'pro', 'rakyat', 'dia', 'yang', 'menang']",seru ih liat anggota dewan ribut semoga terbaik pro rakyat menang
@moonarc.illust3552,ESDM sumbernya uang. Mafianya penuh sesak dari menteri sampi ke level terbawah,esdm sumbernya uang mafianya penuh sesak dari menteri sampi ke level terbawah,"['esdm', 'sumbernya', 'uang', 'mafianya', 'penuh', 'sesak', 'dari', 'menteri', 'sampi', 'ke', 'level', 'terbawah']",esdm sumbernya uang mafianya penuh sesak menteri sampi level terbawah
@bellaeka5245,Jika pak purbaya tiba2 hilang misterius kita semua sudah tau kan ulahnya siapa.,jika pak purbaya tiba hilang misterius kita semua sudah tau kan ulahnya siapa,"['jika', 'pak', 'purbaya', 'tiba', 'hilang', 'misterius', 'kita', 'semua', 'sudah', 'tau', 'kan', 'ulahnya', 'siapa']",purbaya hilang misterius tau ulahnya
@SugigiarGiar,GK heran klau pak Prabowo mempertanyak knp si Bahlil bisa jadi mentri😅,gk heran klau pak prabowo mempertanyak knp si bahlil bisa jadi mentri,"['gk', 'heran', 'klau', 'pak', 'prabowo', 'mempertanyak', 'knp', 'si', 'bahlil', 'bisa', 'jadi', 'mentri']",gk heran klau prabowo mempertanyak knp si bahlil mentri
@abdulkharis9866,Klo gk impor gk bs korupsi,klo gk impor gk bs korupsi,"['klo', 'gk', 'impor', 'gk', 'bs', 'korupsi']",klo gk impor gk bs korupsi
@abykarsa,spertinya pak menkeu sangat jengkel sama pertamina 😂,spertinya pak menkeu sangat jengkel sama pertamina,"['spertinya', 'pak', 'menkeu', 'sangat', 'jengkel', 'sama', 'pertamina']",spertinya menkeu jengkel pertamina
@MRicoatharrazka,Menteri tanpa partai pasti berani,menteri tanpa partai pasti berani,"['menteri', 'tanpa', 'partai', 'pasti', 'berani']",menteri partai berani
@aminamin6703,Betul kata pak mentri malas😁,betul kata pak mentri malas,"['betul', 'kata', 'pak', 'mentri', 'malas']",mentri malas
@RafanAlghifari-i2t,Bahlul Bahlil banyak proses tapi gak ada pergerakan...😢😢,bahlul bahlil banyak proses tapi gak ada pergerakan,"['bahlul', 'bahlil', 'banyak', 'proses', 'tapi', 'gak', 'ada', 'pergerakan']",bahlul bahlil proses gak pergerakan
@baguspriyanto3968,Mafia di indonesia terlalu mengakar mantap pak purbaya lanjutkan,mafia di indonesia terlalu mengakar mantap pak purbaya lanjutkan,"['mafia', 'di', 'indonesia', 'terlalu', 'mengakar', 'mantap', 'pak', 'purbaya', 'lanjutkan']",mafia indonesia mengakar mantap purbaya lanjutkan
@kurniawanMU1810,"Impor teruss.. giliran income masuk kantong bahlil.. bilangnya pertamina rugi terusss
Bahlil ini lama lama ngeselin kaya mukanya","impor teruss giliran income masuk kantong bahlil bilangnya pertamina rugi terusss
bahlil ini lama lama ngeselin kaya mukanya","['impor', 'teruss', 'giliran', 'income', 'masuk', 'kantong', 'bahlil', 'bilangnya', 'pertamina', 'rugi', 'terusss', 'bahlil', 'ini', 'lama', 'lama', 'ngeselin', 'kaya', 'mukanya']",impor teruss giliran income masuk kantong bahlil bilangnya pertamina rugi terusss bahlil ngeselin kaya mukanya
@FaizalFadil-d2w,Intinya ada receh kalau import...,intinya ada receh kalau import,"['intinya', 'ada', 'receh', 'kalau', 'import']",intinya receh import
@Hariyanto-z8v,Menteri titipan gelar dapet membeli mana bisa ngurus minyak,menteri titipan gelar dapet membeli mana bisa ngurus minyak,"['menteri', 'titipan', 'gelar', 'dapet', 'membeli', 'mana', 'bisa', 'ngurus', 'minyak']",menteri titipan gelar dapet membeli ngurus minyak
@guzalda_Channel,Thn 98 sampai sekarang itu jauh loh,thn  sampai sekarang itu jauh loh,"['thn', 'sampai', 'sekarang', 'itu', 'jauh', 'loh']",thn loh
@BayuWibowo-t2m,seakan akan memojokan pak purbaya.  😂,seakan akan memojokan pak purbaya,"['seakan', 'akan', 'memojokan', 'pak', 'purbaya']",seakan memojokan purbaya
@mjmu1707,Order minyak shell melalui kalimantan..bos2 shell order sendiri,order minyak shell melalui kalimantanbos shell order sendiri,"['order', 'minyak', 'shell', 'melalui', 'kalimantanbos', 'shell', 'order', 'sendiri']",order minyak shell kalimantanbos shell order
@CieL-ZZZ,bahlul oh bahlul 😂😂😂,bahlul oh bahlul,"['bahlul', 'oh', 'bahlul']",bahlul oh bahlul
@oktaviavia8112,"Pinter juga pak Prabowo ngangkat Menkeu yg baru, jadi nongol dehh satu persatu mafia Indonesia, alias garong negara...",pinter juga pak prabowo ngangkat menkeu yg baru jadi nongol dehh satu persatu mafia indonesia alias garong negara,"['pinter', 'juga', 'pak', 'prabowo', 'ngangkat', 'menkeu', 'yg', 'baru', 'jadi', 'nongol', 'dehh', 'satu', 'persatu', 'mafia', 'indonesia', 'alias', 'garong', 'negara']",pinter prabowo ngangkat menkeu yg nongol dehh persatu mafia indonesia alias garong negara
@FujiAmar,Katanya Jokowi dulu mau bangun kilang ... Eh...komisaris yang mau bikin dipenjarakan....😂😂😂😂,katanya jokowi dulu mau bangun kilang  ehkomisaris yang mau bikin dipenjarakan,"['katanya', 'jokowi', 'dulu', 'mau', 'bangun', 'kilang', 'ehkomisaris', 'yang', 'mau', 'bikin', 'dipenjarakan']",jokowi bangun kilang ehkomisaris bikin dipenjarakan
@ZahraYumna-uo6tb,"Gua mau nanya perasaan gua pernah liat berita Bahlil di berhentikan oleh pak Prabowo knap sia masih aja kerja apa berita yg gua baca hoax, mohon yg tau jawab?",gua mau nanya perasaan gua pernah liat berita bahlil di berhentikan oleh pak prabowo knap sia masih aja kerja apa berita yg gua baca hoax mohon yg tau jawab,"['gua', 'mau', 'nanya', 'perasaan', 'gua', 'pernah', 'liat', 'berita', 'bahlil', 'di', 'berhentikan', 'oleh', 'pak', 'prabowo', 'knap', 'sia', 'masih', 'aja', 'kerja', 'apa', 'berita', 'yg', 'gua', 'baca', 'hoax', 'mohon', 'yg', 'tau', 'jawab']",gua nanya perasaan gua liat berita bahlil berhentikan prabowo knap sia aja kerja berita yg gua baca hoax mohon yg tau
@Oksifit2023,Gaaaaz mas Puur,gaaaaz mas puur,"['gaaaaz', 'mas', 'puur']",gaaaaz mas puur
@bimacakrabuana9889,"Gmn gak overcapacity. Kan sudah import buat swasta, tapi swasta gak mau beli.. Ya overlah

Kelihatan banget klu sebenarnya kebijakan satu pintu ini cuma akal - akalan pertamina supaya gak ditekan buat kilang karena mereka bisa punya pembenaran dengan jawaban ""Kami overcapacity""","gmn gak overcapacity kan sudah import buat swasta tapi swasta gak mau beli ya overlah

kelihatan banget klu sebenarnya kebijakan satu pintu ini cuma akal  akalan pertamina supaya gak ditekan buat kilang karena mereka bisa punya pembenaran dengan jawaban kami overcapacity","['gmn', 'gak', 'overcapacity', 'kan', 'sudah', 'import', 'buat', 'swasta', 'tapi', 'swasta', 'gak', 'mau', 'beli', 'ya', 'overlah', 'kelihatan', 'banget', 'klu', 'sebenarnya', 'kebijakan', 'satu', 'pintu', 'ini', 'cuma', 'akal', 'akalan', 'pertamina', 'supaya', 'gak', 'ditekan', 'buat', 'kilang', 'karena', 'mereka', 'bisa', 'punya', 'pembenaran', 'dengan', 'jawaban', 'kami', 'overcapacity']",gmn gak overcapacity import swasta swasta gak beli ya overlah banget klu kebijakan pintu akal akalan pertamina gak ditekan kilang pembenaran overcapacity
@EkoBayuSeto-i3r,"Beli minyak mentahnya langsung ke IRAN atau negara penghasil minyak  aja jgn pakai singapore atau negara barat, lalu di olah di kilang sendiri",beli minyak mentahnya langsung ke iran atau negara penghasil minyak  aja jgn pakai singapore atau negara barat lalu di olah di kilang sendiri,"['beli', 'minyak', 'mentahnya', 'langsung', 'ke', 'iran', 'atau', 'negara', 'penghasil', 'minyak', 'aja', 'jgn', 'pakai', 'singapore', 'atau', 'negara', 'barat', 'lalu', 'di', 'olah', 'di', 'kilang', 'sendiri']",beli minyak mentahnya langsung iran negara penghasil minyak aja jgn pakai singapore negara barat olah kilang
@luckylucky1310,Maju terus Pak Purbaya...,maju terus pak purbaya,"['maju', 'terus', 'pak', 'purbaya']",maju purbaya
@tsar_bomba_9,petinggi pertamina harus di regenerasi,petinggi pertamina harus di regenerasi,"['petinggi', 'pertamina', 'harus', 'di', 'regenerasi']",petinggi pertamina regenerasi
@JhonWick-z9t,"Saya pribadi sangat tidak percaya kepada Bahlul.. Ehhh Bahlil... 
Bahlul Mentri tnp kinerja... Perlu juga utk segera di periksa KPK krn 1000% pasti terlibat korupsi 🎉","saya pribadi sangat tidak percaya kepada bahlul ehhh bahlil 
bahlul mentri tnp kinerja perlu juga utk segera di periksa kpk krn  pasti terlibat korupsi","['saya', 'pribadi', 'sangat', 'tidak', 'percaya', 'kepada', 'bahlul', 'ehhh', 'bahlil', 'bahlul', 'mentri', 'tnp', 'kinerja', 'perlu', 'juga', 'utk', 'segera', 'di', 'periksa', 'kpk', 'krn', 'pasti', 'terlibat', 'korupsi']",pribadi percaya bahlul ehhh bahlil bahlul mentri tnp kinerja utk periksa kpk krn terlibat korupsi
@ayaniiz6025,"Ada kilang nol komisi, Impor dpt komisi byk",ada kilang nol komisi impor dpt komisi byk,"['ada', 'kilang', 'nol', 'komisi', 'impor', 'dpt', 'komisi', 'byk']",kilang nol komisi impor dpt komisi byk
@dinosaurus6408,PAK PURBAYA ASET NEGARA MARI KITA JAGA DN DUKUNG... Bahlil gk ada manfaat utk rakyat..,pak purbaya aset negara mari kita jaga dn dukung bahlil gk ada manfaat utk rakyat,"['pak', 'purbaya', 'aset', 'negara', 'mari', 'kita', 'jaga', 'dn', 'dukung', 'bahlil', 'gk', 'ada', 'manfaat', 'utk', 'rakyat']",purbaya aset negara mari jaga dn dukung bahlil gk manfaat utk rakyat
@JoniIskandar-f5z,Luar biasa Mentri Purbaya,luar biasa mentri purbaya,"['luar', 'biasa', 'mentri', 'purbaya']",mentri purbaya
@lenisuryawati7808,"Pertamina selama ini dak berkembang dan stagnan alias diam ditempat dgn gaji besar org malas , memang betul pak Purbaya  Pertamina kumpulan org malas dgn gaji nesar",pertamina selama ini dak berkembang dan stagnan alias diam ditempat dgn gaji besar org malas  memang betul pak purbaya  pertamina kumpulan org malas dgn gaji nesar,"['pertamina', 'selama', 'ini', 'dak', 'berkembang', 'dan', 'stagnan', 'alias', 'diam', 'ditempat', 'dgn', 'gaji', 'besar', 'org', 'malas', 'memang', 'betul', 'pak', 'purbaya', 'pertamina', 'kumpulan', 'org', 'malas', 'dgn', 'gaji', 'nesar']",pertamina dak berkembang stagnan alias diam ditempat dgn gaji org malas purbaya pertamina kumpulan org malas dgn gaji nesar
@nyomancetar8383,Dari PD uangnya d korup lebih baik membangun kilang uangnya jelas kegunaannya,dari pd uangnya d korup lebih baik membangun kilang uangnya jelas kegunaannya,"['dari', 'pd', 'uangnya', 'd', 'korup', 'lebih', 'baik', 'membangun', 'kilang', 'uangnya', 'jelas', 'kegunaannya']",pd uangnya d korup membangun kilang uangnya kegunaannya
@pixca2413,Yg tidak jujur tendang...SJ pak,yg tidak jujur tendangsj pak,"['yg', 'tidak', 'jujur', 'tendangsj', 'pak']",yg jujur tendangsj
@mrkimi3206,"Indonesia lebih hebat jaman Belanda, di jaman itu mereka aja bisa bangun kilang minyak masa skr jaman canggih malah ga bisa ya lucukan",indonesia lebih hebat jaman belanda di jaman itu mereka aja bisa bangun kilang minyak masa skr jaman canggih malah ga bisa ya lucukan,"['indonesia', 'lebih', 'hebat', 'jaman', 'belanda', 'di', 'jaman', 'itu', 'mereka', 'aja', 'bisa', 'bangun', 'kilang', 'minyak', 'masa', 'skr', 'jaman', 'canggih', 'malah', 'ga', 'bisa', 'ya', 'lucukan']",indonesia hebat jaman belanda jaman aja bangun kilang minyak skr jaman canggih ga ya lucukan
@catbert007,Projectnya disabot terus agar supply BBM tersandera ... Ya kann??,projectnya disabot terus agar supply bbm tersandera  ya kann,"['projectnya', 'disabot', 'terus', 'agar', 'supply', 'bbm', 'tersandera', 'ya', 'kann']",projectnya disabot supply bbm tersandera ya kann
@DedeMamay-l1t,Bahlil mungkin nggak ngerti kejadian di Nepal.,bahlil mungkin nggak ngerti kejadian di nepal,"['bahlil', 'mungkin', 'nggak', 'ngerti', 'kejadian', 'di', 'nepal']",bahlil nggak ngerti kejadian nepal
@megabayuputra8807,Tanda2 bau2 3D ni ...duit..duit..duiit,tanda bau d ni duitduitduiit,"['tanda', 'bau', 'd', 'ni', 'duitduitduiit']",tanda bau d ni duitduitduiit
@imronwaskito9311,"Lebih percaya Pak Pur, ❤",lebih percaya pak pur,"['lebih', 'percaya', 'pak', 'pur']",percaya pur
@adrianrayan563,Ngapain impor kalau masih banyak,ngapain impor kalau masih banyak,"['ngapain', 'impor', 'kalau', 'masih', 'banyak']",ngapain impor
@zulvianatafia2980,Lama lama kliatan ni Menuju bahlil usut si bahlil,lama lama kliatan ni menuju bahlil usut si bahlil,"['lama', 'lama', 'kliatan', 'ni', 'menuju', 'bahlil', 'usut', 'si', 'bahlil']",kliatan ni bahlil usut si bahlil
@santuyychannel7650,"Dibakar 😂

Menyala Pak Purr","dibakar 

menyala pak purr","['dibakar', 'menyala', 'pak', 'purr']",dibakar menyala purr
@DangdutKoploMania-t9k,kalau gak impor bahlul gak mandi solar dong:face-blue-smiling::face-blue-smiling::face-blue-smiling:,kalau gak impor bahlul gak mandi solar dongfacebluesmilingfacebluesmilingfacebluesmiling,"['kalau', 'gak', 'impor', 'bahlul', 'gak', 'mandi', 'solar', 'dongfacebluesmilingfacebluesmilingfacebluesmiling']",gak impor bahlul gak mandi solar dongfacebluesmilingfacebluesmilingfacebluesmiling
@hendranababan175,Kalau impor kan dapat uang masuk...,kalau impor kan dapat uang masuk,"['kalau', 'impor', 'kan', 'dapat', 'uang', 'masuk']",impor uang masuk
@rikahap324,Kelihatan kok...sapa yg pinter sapa yang pe'a 😊,kelihatan koksapa yg pinter sapa yang pea,"['kelihatan', 'koksapa', 'yg', 'pinter', 'sapa', 'yang', 'pea']",koksapa yg pinter sapa pea
@dearbono6943,"ITB vs tak terlacak, auranya jg beda jauh",itb vs tak terlacak auranya jg beda jauh,"['itb', 'vs', 'tak', 'terlacak', 'auranya', 'jg', 'beda', 'jauh']",itb vs terlacak auranya jg beda
@AmurMaru,"Indonesia itu luas tapi kok masih ngadelin impor, mafia minyak tambah kaya😂😂😂",indonesia itu luas tapi kok masih ngadelin impor mafia minyak tambah kaya,"['indonesia', 'itu', 'luas', 'tapi', 'kok', 'masih', 'ngadelin', 'impor', 'mafia', 'minyak', 'tambah', 'kaya']",indonesia luas ngadelin impor mafia minyak kaya
@CINATURMUNGKUR,Jangan jangan tdk faham istilah over capacity,jangan jangan tdk faham istilah over capacity,"['jangan', 'jangan', 'tdk', 'faham', 'istilah', 'over', 'capacity']",tdk faham istilah over capacity
@mamikmedsos-go9bs,Harga nya minyak  mahal mmh rkyt di kibuli bae,harga nya minyak  mahal mmh rkyt di kibuli bae,"['harga', 'nya', 'minyak', 'mahal', 'mmh', 'rkyt', 'di', 'kibuli', 'bae']",harga nya minyak mahal mmh rkyt kibuli bae
@zayalwafa1834,"Kok bisa Bahlil di pakai, pak jenderal....buang ini orang.",kok bisa bahlil di pakai pak jenderalbuang ini orang,"['kok', 'bisa', 'bahlil', 'di', 'pakai', 'pak', 'jenderalbuang', 'ini', 'orang']",bahlil pakai jenderalbuang orang
@ukong8777,"Nah loh,makin curiga aja rakyat juga sama si Bahlil Bahlul itu.
Ini minimal udah ada tanggapan dari presiden nya,jangan diem","nah lohmakin curiga aja rakyat juga sama si bahlil bahlul itu
ini minimal udah ada tanggapan dari presiden nyajangan diem","['nah', 'lohmakin', 'curiga', 'aja', 'rakyat', 'juga', 'sama', 'si', 'bahlil', 'bahlul', 'itu', 'ini', 'minimal', 'udah', 'ada', 'tanggapan', 'dari', 'presiden', 'nyajangan', 'diem']",lohmakin curiga aja rakyat si bahlil bahlul minimal udah tanggapan presiden nyajangan diem
@callmealdi,Coba diaudit ma auditor independen itu pertamina..,coba diaudit ma auditor independen itu pertamina,"['coba', 'diaudit', 'ma', 'auditor', 'independen', 'itu', 'pertamina']",coba diaudit ma auditor independen pertamina
@bayuanggararockroll8043,Cacing mulai keluar siap siap yah,cacing mulai keluar siap siap yah,"['cacing', 'mulai', 'keluar', 'siap', 'siap', 'yah']",cacing yah
@supadi175,Saya dukung bapak menkeu 😊,saya dukung bapak menkeu,"['saya', 'dukung', 'bapak', 'menkeu']",dukung menkeu
@minangbana9488,Ganti bocah afrika itu✊✊,ganti bocah afrika itu,"['ganti', 'bocah', 'afrika', 'itu']",ganti bocah afrika
@RudiKurnia-j9u,"Bahlil masih di pertahankan di kabinet, padahal bisa nya apaaa ??",bahlil masih di pertahankan di kabinet padahal bisa nya apaaa,"['bahlil', 'masih', 'di', 'pertahankan', 'di', 'kabinet', 'padahal', 'bisa', 'nya', 'apaaa']",bahlil pertahankan kabinet nya apaaa
@FajarizkyAlamsyah,WKWKWKWKWKW .. KENAPA SIH ORANG NI NGOMONG NY GA DI FILTER DULU 😂,wkwkwkwkwkw  kenapa sih orang ni ngomong ny ga di filter dulu,"['wkwkwkwkwkw', 'kenapa', 'sih', 'orang', 'ni', 'ngomong', 'ny', 'ga', 'di', 'filter', 'dulu']",wkwkwkwkwkw sih orang ni ngomong ny ga filter
@bipee3937,Wajib impor dari USA dan Saudi.,wajib impor dari usa dan saudi,"['wajib', 'impor', 'dari', 'usa', 'dan', 'saudi']",wajib impor usa saudi
@bambangsugianto1532,"Blm tuntas simak video nya juga semua sdh paham Bahlil ngotot krn berkepentingan utk lindungi orang2 & oligarki genk nya agar tetep bisa bermain kotor di Minyak. Minyak itu bau, kotor dan licin spt Bahlil.",blm tuntas simak video nya juga semua sdh paham bahlil ngotot krn berkepentingan utk lindungi orang  oligarki genk nya agar tetep bisa bermain kotor di minyak minyak itu bau kotor dan licin spt bahlil,"['blm', 'tuntas', 'simak', 'video', 'nya', 'juga', 'semua', 'sdh', 'paham', 'bahlil', 'ngotot', 'krn', 'berkepentingan', 'utk', 'lindungi', 'orang', 'oligarki', 'genk', 'nya', 'agar', 'tetep', 'bisa', 'bermain', 'kotor', 'di', 'minyak', 'minyak', 'itu', 'bau', 'kotor', 'dan', 'licin', 'spt', 'bahlil']",blm tuntas simak video nya sdh paham bahlil ngotot krn berkepentingan utk lindungi orang oligarki genk nya tetep bermain kotor minyak minyak bau kotor licin spt bahlil
@tioadiph,"Ngak ada yang percaya sama omongan Bahlil dan Pertamina, jelas menkeu ngak percaya juga 🤣",ngak ada yang percaya sama omongan bahlil dan pertamina jelas menkeu ngak percaya juga,"['ngak', 'ada', 'yang', 'percaya', 'sama', 'omongan', 'bahlil', 'dan', 'pertamina', 'jelas', 'menkeu', 'ngak', 'percaya', 'juga']",ngak percaya omongan bahlil pertamina menkeu ngak percaya
@sendokgarpu4569,Gass pak pur,gass pak pur,"['gass', 'pak', 'pur']",gass pur
@permen-f1m,Pejabatnya penghianat atau maling serahkan ke rakyat . Pasti beres,pejabatnya penghianat atau maling serahkan ke rakyat  pasti beres,"['pejabatnya', 'penghianat', 'atau', 'maling', 'serahkan', 'ke', 'rakyat', 'pasti', 'beres']",pejabatnya penghianat maling serahkan rakyat beres
@analisa458,Suruh kontraktor China saja. Bikin kilang paling 1 bulan.,suruh kontraktor china saja bikin kilang paling  bulan,"['suruh', 'kontraktor', 'china', 'saja', 'bikin', 'kilang', 'paling', 'bulan']",suruh kontraktor china bikin kilang
@gondes3120,Kocak omongan bahlil tetap tidak percaya seperti gas 3 kg dulu,kocak omongan bahlil tetap tidak percaya seperti gas  kg dulu,"['kocak', 'omongan', 'bahlil', 'tetap', 'tidak', 'percaya', 'seperti', 'gas', 'kg', 'dulu']",kocak omongan bahlil percaya gas kg
@Pembersihwajah22,Supaya komisi impor terselubung tetap di rekening gendut,supaya komisi impor terselubung tetap di rekening gendut,"['supaya', 'komisi', 'impor', 'terselubung', 'tetap', 'di', 'rekening', 'gendut']",komisi impor terselubung rekening gendut
@mksidchannel,overcapacity minyak impor dan jika dibuatkan kilang sendiri hilang sudah uang sampingan untuk foya-foya,overcapacity minyak impor dan jika dibuatkan kilang sendiri hilang sudah uang sampingan untuk foyafoya,"['overcapacity', 'minyak', 'impor', 'dan', 'jika', 'dibuatkan', 'kilang', 'sendiri', 'hilang', 'sudah', 'uang', 'sampingan', 'untuk', 'foyafoya']",overcapacity minyak impor dibuatkan kilang hilang uang sampingan foyafoya
@lewifransiscusho,"1998-2025, 27 tahun belom bikin kilang baru. Sebodoh""nya manusia aja dengan anggapan gak sekolah sama sekali dari lahir, umur 27 tahun setidaknya dia pasti udah bisa jalan kaki. 🙄 Logikanya kalo sarana yang ada sudah tidak memadai ya sarananya ditambah. 27 tahun sama sekali gak ada nambah apa-apa ya sudah jelas ada kepentingan sekelompok yang diprioritaskan di atas kepentingan masyarakat dan negara. Bawa aja tuh duit ampe liang kubur. Wkwkw. Emangnya rakyat bego apa? Rakyat cuma sudah tidak peduli, lebih baik urus diri sendiri.",tahun belom bikin kilang baru sebodohnya manusia aja dengan anggapan gak sekolah sama sekali dari lahir umur  tahun setidaknya dia pasti udah bisa jalan kaki  logikanya kalo sarana yang ada sudah tidak memadai ya sarananya ditambah  tahun sama sekali gak ada nambah apaapa ya sudah jelas ada kepentingan sekelompok yang diprioritaskan di atas kepentingan masyarakat dan negara bawa aja tuh duit ampe liang kubur wkwkw emangnya rakyat bego apa rakyat cuma sudah tidak peduli lebih baik urus diri sendiri,"['tahun', 'belom', 'bikin', 'kilang', 'baru', 'sebodohnya', 'manusia', 'aja', 'dengan', 'anggapan', 'gak', 'sekolah', 'sama', 'sekali', 'dari', 'lahir', 'umur', 'tahun', 'setidaknya', 'dia', 'pasti', 'udah', 'bisa', 'jalan', 'kaki', 'logikanya', 'kalo', 'sarana', 'yang', 'ada', 'sudah', 'tidak', 'memadai', 'ya', 'sarananya', 'ditambah', 'tahun', 'sama', 'sekali', 'gak', 'ada', 'nambah', 'apaapa', 'ya', 'sudah', 'jelas', 'ada', 'kepentingan', 'sekelompok', 'yang', 'diprioritaskan', 'di', 'atas', 'kepentingan', 'masyarakat', 'dan', 'negara', 'bawa', 'aja', 'tuh', 'duit', 'ampe', 'liang', 'kubur', 'wkwkw', 'emangnya', 'rakyat', 'bego', 'apa', 'rakyat', 'cuma', 'sudah', 'tidak', 'peduli', 'lebih', 'baik', 'urus', 'diri', 'sendiri']",belom bikin kilang sebodohnya manusia aja anggapan gak sekolah lahir umur udah jalan kaki logikanya kalo sarana memadai ya sarananya ditambah gak nambah apaapa ya kepentingan sekelompok diprioritaskan kepentingan masyarakat negara bawa aja tuh duit ampe liang kubur wkwkw emangnya rakyat bego rakyat peduli urus
@yohanespurnama547,"Pak Pur ..
Sy berandai sebagai pembisnis neeeh....


Mending IMPORT MINYAK laaah...

Kan bisa nitip 3%, 8%, 15% bahkan jika perlu 35% 

😂😂😂😂😂😂😂😂😂

Bisa liburan ke MARS","pak pur 
sy berandai sebagai pembisnis neeeh


mending import minyak laaah

kan bisa nitip    bahkan jika perlu  



bisa liburan ke mars","['pak', 'pur', 'sy', 'berandai', 'sebagai', 'pembisnis', 'neeeh', 'mending', 'import', 'minyak', 'laaah', 'kan', 'bisa', 'nitip', 'bahkan', 'jika', 'perlu', 'bisa', 'liburan', 'ke', 'mars']",pur sy berandai pembisnis neeeh mending import minyak laaah nitip liburan mars
@sonisitumorang5906,DPR selalu tipu tipu rakyat.aji mumpung menjabat memper kaya sendiri,dpr selalu tipu tipu rakyataji mumpung menjabat memper kaya sendiri,"['dpr', 'selalu', 'tipu', 'tipu', 'rakyataji', 'mumpung', 'menjabat', 'memper', 'kaya', 'sendiri']",dpr tipu tipu rakyataji mumpung menjabat memper kaya
@BimaFaldi,100% apakah pak prabowo makan uang hasil pertamina yg seperti ini ?,apakah pak prabowo makan uang hasil pertamina yg seperti ini,"['apakah', 'pak', 'prabowo', 'makan', 'uang', 'hasil', 'pertamina', 'yg', 'seperti', 'ini']",prabowo makan uang hasil pertamina yg
